stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,13.13,0,0,0,0,45.97,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,0.81,23.36,0,0,0,0,71.7,0,0,0,0.81,0
 48-58,0.57,0.57,0,0,2.87,0,1.72,0,0,0,0.57,4.59,2.3,0,0,2.87,47.05,0,0,0,0,45.33,0,0,0.57,0.57,0
 60-70,0,0,0,0,7.85,0,19.63,0,0,0,0,3.93,1.96,0,0,1.96,113.86,0,0,0,0,95.21,0,0.98,0,0,0
 72-82,0,0.98,0.98,0,42.21,0,67.73,0,0.98,0,0,9.82,17.67,0,0,4.91,161.97,0,0,0,0,61.84,0,0,0.98,2.94,1.96
 84-94,0,0,0,0,35.05,0,48.85,0,0,0,0,20.18,5.31,0,0,5.31,91.34,1.06,0,0,0,29.74,0,0,3.19,0,2.12
 96-106,0,1.09,0,0,31.69,1.09,50.27,0,0,1.09,1.09,15.3,10.93,0,1.09,8.74,87.43,0,1.09,0,0,21.86,0,0,2.19,0,0
108-118,0.77,2.3,0,1.53,20.68,0,65.87,0.77,0,0,0,18.38,11.49,0,0,6.13,121.79,0.77,0,0.77,0,7.66,0,0.77,0.77,1.53,3.83
120,0,0,1.96,0,19.6,0,56.83,0,0,0,0,3.92,3.92,0,3.92,3.92,125.43,0,0,0,0,7.84,1.96,0,0,0,0
