stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,97.56,0,0,3.15,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,10,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,15,0,13,76,0,0,3,0,0,0,61,0,7,93,43,0,0,0,0,0
 24-34,0,0,0,1.64,11.49,0.82,0,7.39,0,0,1.64,2.46,0,1.64,0,0,0,12.31,0.82,0,59.1,0,9.03,188.8,4.93,1.64,9.03,0,0.82,0,0,0.82,0,25.45,74.7,0,0,3.28,0,0
 36-46,0,0,0.81,0,6.45,0,0,2.42,0.81,1.61,0,11.28,0,3.22,0,0,0,9.67,0.81,0,53.98,0,12.89,306.96,3.22,3.22,7.25,0,0,0,0,0,0,0,76.54,0,0,1.61,0,0
 48-58,0,0,0,0,5.16,0,0,34.43,2.87,0,2.3,28.69,0.57,1.15,0,0,0.57,8.03,1.15,0.57,82.63,1.72,10.33,444.7,0.57,0,10.9,0,0,0,0,1.15,0,0,71.15,0,0,4.59,0,0.57
 60-70,0,0,0,0,8.83,0,0,94.23,1.96,0.98,5.89,53,0,0,0,0,0,3.93,0.98,0.98,106.99,3.93,8.83,584.01,0,0,6.87,0,0.98,1.96,0,0,0.98,0,73.61,0,3.93,0.98,0,0.98
 72-82,0,0,0.98,0,6.87,0,0,148.23,0.98,0.98,10.8,100.13,0.98,0.98,0,0.98,1.96,19.63,0.98,0,150.19,4.91,15.71,541.88,0.98,1.96,25.52,0,2.94,0,0,2.94,1.96,0,47.12,0.98,5.89,6.87,3.93,0
 84-94,0,0,0,0,19.12,1.06,0,94.52,0,1.06,9.56,54.16,2.12,4.25,1.06,0,6.37,12.74,0,3.19,105.14,6.37,15.93,257.01,1.06,2.12,20.18,0,0,1.06,0,2.12,1.06,0,22.3,0,4.25,9.56,0,1.06
 96-106,0,0,1.09,1.09,17.49,1.09,1.09,76.5,2.19,2.19,1.09,73.22,1.09,3.28,3.28,1.09,5.46,18.58,3.28,0,76.5,12.02,15.3,272.12,0,1.09,25.14,0,3.28,9.84,0,1.09,0,0,8.74,0,2.19,4.37,4.37,0
108-118,0,0,0,0,16.85,5.36,0.77,66.64,2.3,0,5.36,62.04,0,1.53,0,1.53,9.96,13.02,1.53,0.77,87.32,3.83,21.45,261.96,0.77,0,18.38,0,1.53,2.3,0,0.77,0.77,0,5.36,0,1.53,10.72,0.77,0.77
120,0,0,1.96,0,11.76,5.88,0,50.95,1.96,1.96,3.92,62.71,3.92,0,0,0,9.8,5.88,0,0,68.59,7.84,23.52,286.13,1.96,0,15.68,0,3.92,0,0,3.92,1.96,0,3.92,0,7.84,5.88,0,0
