stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,22.03,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,11,1,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,3,72,3,1,0,3,3,0,3,8,0,5,46,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,14.78,0,0.82,0,3.28,1.64,0,0,0.82,1.64,0,0,0,0,1.64,0,0,1.64,60.74,0,0.82,0.82,0,9.85,0,0,8.21,0.82,0,36.94,0,0,1.64,0
 36-46,0,0,1.61,0,0.81,0.81,0,22.56,0,0.81,0,0.81,0,0,0,1.61,0.81,0,0,0.81,0.81,6.45,0,0,3.22,115.21,0.81,6.45,2.42,0,13.7,0.81,0,3.22,0.81,0,44.31,0,0,3.22,0
 48-58,0,0,0,0,4.59,0,0,37.87,0,1.72,1.15,4.02,0,0,0,1.72,0,0,1.15,0,0,12.62,0,0.57,4.02,142.3,0,4.59,1.15,0,9.75,0.57,0,2.87,1.15,0,25.82,0,0,1.15,0.57
 60-70,0,0,0,0,4.91,0,0,119.75,0.98,2.94,0,8.83,0.98,0,0,1.96,0,1.96,0,0.98,0,26.5,0.98,0,3.93,247.34,0,2.94,0,0,11.78,0,0,4.91,0,0,39.26,0,0.98,1.96,0.98
 72-82,0,0,4.91,0,2.94,0.98,0.98,191.42,0.98,0,0,33.38,1.96,0,0,5.89,3.93,0,5.89,0.98,0,55.95,0.98,0,2.94,287.63,0.98,7.85,3.93,0,12.76,0,0,11.78,0,0,32.39,2.94,0,9.82,1.96
 84-94,0,0,4.25,1.06,13.81,0,0,168.86,0,0,0,25.49,11.68,0,1.06,10.62,9.56,0,3.19,1.06,2.12,35.05,1.06,1.06,4.25,172.05,0,2.12,4.25,0,48.85,0,0,37.17,0,0,20.18,0,0,6.37,0
 96-106,0,0,3.28,1.09,20.76,2.19,0,116.93,2.19,0,3.28,32.79,9.84,0,1.09,13.11,5.46,0,4.37,5.46,0,40.44,0,2.19,4.37,131.14,0,9.84,8.74,0,26.23,0,0,28.41,1.09,0,14.21,0,2.19,5.46,3.28
108-118,0,0,1.53,0,13.79,0.77,0.77,101.87,0,0.77,3.06,30.64,13.02,0,0,14.55,5.36,0.77,6.13,6.89,0,45.96,0.77,0,3.83,186.13,1.53,7.66,6.89,0,23.74,0,0,29.87,0,0,9.96,2.3,1.53,3.83,1.53
120,0,0,3.92,0,29.4,0,0,72.51,0,0,0,39.2,21.56,0,1.96,21.56,1.96,0,0,7.84,0,37.24,0,1.96,1.96,188.14,1.96,3.92,15.68,0,25.48,0,0,21.56,1.96,0,13.72,1.96,0,13.72,0
