stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,1,70,1,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,13.95,0,0,0,0,0,0.82,0,0,0.82,0,0,0,9.03,0,0,2.46,385.8,0,5.75,1.64,0,0,0.82,0,0,0,0.82,97.68,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,48.34,0,0,0,8.86,0.81,0,0,0,0,0,0,1.61,11.28,0,0.81,2.42,761.36,0,9.67,0.81,0,0,0,0.81,0,0,0,166.77,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0.57,0,137.71,0,1.15,1.72,33.28,0,0,0,0,0,0.57,0,1.15,10.33,0,0.57,3.44,995.55,0,2.87,1.15,0,0.57,0,0,0,0,0,183.04,0,0,0.57,0,3.44
 60-70,0,0,0,0,1.96,0,0,262.07,0,0,0.98,47.11,1.96,0,0,0,0,0.98,0,0,22.58,0,0,0.98,1228.87,0,3.93,0.98,0,0.98,0.98,0,0,0,0,151.15,0,0.98,0.98,0,0
 72-82,0,0,0,0,8.83,2.94,0,315.11,0,0.98,0,41.23,0.98,0,0.98,0,0.98,0,0,0,36.32,0.98,0.98,2.94,1013.08,0,7.85,2.94,0,0,1.96,0,0,0.98,0,88.35,0.98,2.94,3.93,0,2.94
 84-94,0,0,0,0,4.25,1.06,0,174.17,0,1.06,2.12,33.99,0,0,3.19,1.06,0,0,0,1.06,16.99,1.06,3.19,3.19,469.42,1.06,3.19,4.25,0,0,3.19,0,0,0,0,41.42,0,0,3.19,0,0
 96-106,0,0,1.09,0,6.56,2.19,0,144.26,0,0,3.28,29.51,0,0,1.09,0,1.09,1.09,1.09,1.09,13.11,0,0,2.19,362.83,0,4.37,7.65,0,1.09,2.19,0,1.09,0,0,16.39,0,0,2.19,0,0
108-118,0,0,0.77,0,3.83,0.77,0,130.98,0,0,0.77,29.87,0,0,0.77,0,0,0,0.77,0,7.66,0.77,0.77,0.77,457.28,0,2.3,2.3,0,0,0,0,0,0,0,14.55,0,0,1.53,0.77,0
120,0,0,0,0,5.88,5.88,3.92,121.51,1.96,3.92,0,33.32,0,0,1.96,0,0,0,0,0,19.6,0,3.92,1.96,680.05,0,11.76,0,0,0,1.96,0,0,0,0,19.6,0,0,5.88,0,3.92
