stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,0,3,0,0,0,0,0,0,4,0,2,0,0
 24-34,0,4.1,0,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0,0,176.48,0,25.45,0,0,0.82,0,0,0,20.52,0,0,0,0
 36-46,0,1.61,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,418.95,0,32.23,0,0,0,1.61,0,0,24.98,0,0,0,0
 48-58,0,1.72,0,0.57,0,17.79,0,0,4.59,0,0,0,0.57,0,0.57,0,7.46,1.15,1.72,478.55,0.57,20.66,0,0,0.57,0.57,0.57,0,18.36,0,0,0,0.57
 60-70,0,0,0,0.98,0,29.45,0.98,0,1.96,0,0,0,0.98,0,0,0,10.8,0,0.98,757.73,0,26.5,0.98,0,0,0,0,0.98,11.78,0.98,0,0,0
 72-82,0,0,0,6.87,1.96,98.17,0.98,1.96,9.82,1.96,1.96,0,0.98,0.98,0.98,0,60.86,0.98,2.94,1024.85,0,59.88,0.98,0,1.96,0,0,0.98,24.54,0,1.96,0.98,1.96
 84-94,0,4.25,0,6.37,1.06,82.84,0,0,14.87,1.06,1.06,0,0,0,0,0,30.8,0,0,549.07,0,41.42,0,0,2.12,0,0,1.06,10.62,0,0,0,1.06
 96-106,0,0,0,15.3,4.37,90.71,1.09,0,18.58,0,1.09,1.09,1.09,0,2.19,0,18.58,0,3.28,524.57,1.09,80.87,1.09,0,3.28,0,0,0,8.74,0,3.28,1.09,1.09
108-118,0,0.77,0,5.36,0.77,63.57,0.77,0,13.79,0.77,1.53,0,0.77,0,0,0.77,15.32,0.77,0.77,769.79,0,52.85,0.77,0,0,0,0,0,6.89,0,0.77,0,0.77
120,0,0,0,19.6,1.96,37.24,0,0,3.92,1.96,0,0,0,0,1.96,0,15.68,1.96,0,848.59,0,29.4,3.92,0,0,0,0,0,5.88,0,0,0,0
