stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,2,0,28,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,36,0,0,29,1,0,1,0,0,0,0
 24-34,0,0,22.98,0,0,421.1,0,2.46,0,3.28,0,8.21,0,0,0,0,0,0,4.1,0,0,0.82,109.17,0.82,11.49,23.8,0,0,9.03,0,0.82,0,0.82
 36-46,0,0,43.51,0,0,717.85,0,13.7,0,8.06,0,10.47,0,0,0,0.81,0.81,0.81,9.67,0.81,0,0,74.93,0,23.36,28.2,0,0,12.09,0,1.61,0,0
 48-58,0,0,13.2,0,0,476.26,0,9.18,0,19.51,0.57,20.08,0,0.57,0,0,0.57,0,5.16,0.57,1.15,1.72,95.25,1.15,9.18,37.87,0,0,10.33,0,1.72,0.57,0
 60-70,0,0,33.37,0.98,0,195.32,0,13.74,0,49.08,0.98,11.78,0,0,0,0,0,0,33.37,0,1.96,0,38.28,3.93,6.87,65.76,0,0,3.93,0.98,0.98,0.98,0
 72-82,0,0,9.82,0,0.98,91.29,0,5.89,0,61.84,2.94,31.41,0.98,0,0.98,1.96,0,0,111.91,0,0.98,0,23.56,2.94,5.89,27.49,0,0.98,1.96,0.98,2.94,1.96,0.98
 84-94,0,0,7.43,1.06,1.06,79.65,0,12.74,0,48.85,2.12,13.81,0,2.12,0,2.12,0,0,79.65,1.06,1.06,0,9.56,6.37,14.87,46.73,0,0,3.19,0,3.19,0,0
 96-106,0,0,28.41,0,1.09,77.59,1.09,30.6,0,63.39,0,28.41,0,3.28,1.09,0,0,0,64.48,2.19,0,1.09,15.3,34.97,21.86,104.91,0,0,1.09,1.09,4.37,0,0
108-118,0,0.77,20.68,0,0,103.41,0,11.49,0.77,52.09,0,8.43,0.77,0.77,0,3.83,0,0,58.98,0,0,0.77,6.89,13.79,23.74,41.36,0,0,0.77,0,3.83,0,0
120,0,0,19.6,0,0,58.79,0,9.8,0,39.2,3.92,5.88,1.96,0,0,0,0,0,35.28,0,0,0,17.64,21.56,17.64,13.72,0,0,1.96,0,0,0,0
