stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,4.93,0,0,0,114.1,0.82,0,0,0,0
 36-46,0,0,0,2.42,0,0.81,1.61,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,0.81,0,0,157.11,1.61,0,0,0,0
 48-58,1.15,0,0,8.61,0,4.59,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0.57,10.33,0,0,0,247.31,0.57,0,0.57,0,0
 60-70,1.96,0,0,2.94,0,6.87,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0.98,16.69,0,0.98,0,406.35,2.94,0,0,0,0
 72-82,4.91,0,0,4.91,0,11.78,0.98,0.98,0,0,2.94,0,0,0,0,2.94,2.94,0,0,14.72,0,0,0,390.7,0.98,0,0.98,0,0.98
 84-94,7.43,1.06,0,2.12,0,23.36,4.25,0,1.06,0,14.87,1.06,0,1.06,0,4.25,7.43,0,0,8.5,0,0,0,1076.91,0,0,1.06,0,0
 96-106,21.86,3.28,1.09,6.56,1.09,31.69,6.56,0,0,0,10.93,0,1.09,0,0,5.46,17.49,1.09,1.09,10.93,0,2.19,1.09,1269.89,2.19,0,2.19,0,0
108-118,19.92,0.77,0,4.6,0.77,48.26,0.77,0.77,0,2.3,21.45,1.53,0,0.77,0,4.6,15.32,0,0.77,10.72,0,0,0,1099.92,0,0.77,0,0.77,0
120,19.6,0,0,5.88,0,47.03,1.96,0,0,1.96,9.8,0,0,0,0,1.96,3.92,0,1.96,13.72,0,0,0,680.05,0,0,0,0,0
