stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,7.39,0,0,0.82,0.82,1.64,0,0.82,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0.81,0,7.25,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,0.57,0,3.44,0,0,0,1.15,1.15,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,1.96,0,5.89,0,0,0,7.85,0.98,0,0,0.98
 72-82,0,0,0,0,4.91,2.94,0,0,0,1.96,0,3.93,0,0,0.98,26.5,0,0,0,0.98
 84-94,0,0,2.12,0,1.06,0,0,0,1.06,0,0,2.12,1.06,0,0,69.03,0,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,0,1.09,0,0,3.28,1.09,0,2.19,97.26,0,1.09,0,0
108-118,0,0,0.77,0,1.53,1.53,0.77,0,0.77,1.53,0.77,3.83,1.53,0,0,90.38,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,7.84,0,0,1.96,68.59,0,0,0,0
