stage,axial,blastomeres,epidermis,eye,fin_epithelia,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,2.63,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,2.46,0.82,2.46,0,9.85,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,0,4.83,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,4.02,0,1.15,0,5.74,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,1.96,0.98,0.98,0.98,5.89,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,2.94,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,3.83,0,0.77,0,1.53,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0
