stage,epidermis,eye,fast.muscle,fin.epithelia,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,4.1,0,0,2.46,0,0.82
 36-46,1.61,0,0.81,0,0,1.61,0,0.81,0,0,13.7,0,0,2.42,0,0
 48-58,0.57,3.44,0,0,0,0,0,0,0,0,23.53,0,0.57,5.74,0,0
 60-70,0.98,4.91,0,0,0.98,0,0,0,0,0.98,33.37,0,0,2.94,0,0.98
 72-82,0.98,12.76,0,0,0,0,0,0,0.98,0,21.6,0,0,1.96,0,0
 84-94,3.19,4.25,0,0,2.12,0,0,0,0,0,14.87,0,0,2.12,0,0
 96-106,2.19,3.28,0,1.09,1.09,0,0,1.09,0,0,6.56,1.09,0,1.09,0,0
108-118,0,1.53,0.77,0,0.77,0,0.77,0.77,0,0,6.13,0,0,0.77,0.77,0
120,5.88,0,0,0,0,0,0,0,0,0,13.72,0,1.96,0,0,0
