stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,4,0,0,0,4,0,0,29,1,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,6.57,0,0,0,0,4.1,0,0.82,134.62,0.82,0,0.82,0,0,0.82,0,0.82,0,0,36.94,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0.81,0.81,62.04,0,0,0,0,6.45,0,0,220.75,0,0,0,0,0,0.81,0,0.81,0,0,140.99,0,0,0,0,0
 48-58,0,0,0.57,4.59,0,0,143.45,0,0,0,0,13.77,0,1.72,95.83,0,0.57,0.57,0,0,0,0,0,0.57,0,147.47,0,0.57,0,0,0
 60-70,0,0,0,3.93,0,0.98,211.03,0,1.96,0,0.98,24.54,0.98,0,52.02,0,0,0.98,0,0,0,0,0,0,0,79.5,0,0.98,0,0,0
 72-82,0,0,2.94,23.56,0,0,342.6,0,0,0,0,28.47,0,0.98,47.12,0,0,4.91,0,0,0,0,0,0,0,28.47,0.98,0.98,0.98,0.98,0
 84-94,0,0,1.06,11.68,0,0,172.05,0,0,0,0,21.24,0,0,22.3,0,1.06,2.12,0,0,0,0,0,0,0,30.8,0,1.06,0,1.06,0
 96-106,0,0,1.09,12.02,0,1.09,186.88,0,0,0,0,19.67,0,0,25.14,0,0,0,0,1.09,3.28,0,0,0,0,40.44,0,0,1.09,0,0
108-118,0,0,0.77,9.19,0,0,180,0,0,0,0,9.96,0,1.53,24.51,0,0,0,0,0,0.77,0,0,0.77,0,9.96,0,1.53,0,0,0.77
120,0,0,3.92,13.72,0,0,203.82,0,0,1.96,0,1.96,1.96,0,45.08,0,0,1.96,0,0,0,0,1.96,0,0,11.76,0,0,0,0,0
