stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,0.82,0,0,4.93,0,0.82,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0,2.87,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,5.89,0.98,0,0,0.98,1.96,0.98,0,0,7.85,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,20.61,0,0,0,0.98,1.96,5.89,0,0,5.89,0,0,0,0,0,4.91,0.98,0
 84-94,0,1.06,0,0,0,53.1,0,0,0,9.56,8.5,3.19,0,0,7.43,0,2.12,0,0,0,14.87,0,0
 96-106,0,0,0,3.28,1.09,81.96,0,1.09,3.28,27.32,19.67,3.28,1.09,2.19,14.21,0,1.09,0,0,0,27.32,2.19,1.09
108-118,0,0,0,1.53,0.77,95.75,0,0,1.53,60.51,32.17,4.6,0,0,6.13,0,2.3,0,0.77,0,22.21,0,0
120,0,0,0,0,1.96,48.99,0,3.92,1.96,97.99,58.79,0,0,0,21.56,0,0,0,0,1.96,11.76,0,0
