stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,18.88,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,30,1,0,2,0,4,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,3.28,6.57,0,0.82,0,0.82,0,2.46,0.82,0,0,0,0.82,0,0,0,2.46,0,0,85.37,5.75,7.39,4.1,0,0.82,0,0,0,0.82,51.71,0,0,0.82,0,0.82
 36-46,0,0,0,0,4.03,0,3.22,0,1.61,0,4.83,1.61,0,0.81,0,0,0,0,0,5.64,0,1.61,175.64,0.81,18.53,2.42,0,2.42,0,0,0,0,72.51,0,0,0,0,0
 48-58,0,0,1.15,0,5.16,0,21.8,0,0,0.57,4.59,0,0.57,0,0,0,0.57,1.15,0,15.49,0,0,295.51,0.57,11.48,4.59,0,1.72,0,0,0,0,57.95,0,0,0.57,0,0
 60-70,0,0,0,0,6.87,0,53.98,0.98,0.98,0,6.87,0,0,0,0,0.98,0,0,0,33.37,0,1.96,569.28,0,16.69,7.85,0,0.98,0,0,0.98,0,74.6,0,0,0.98,0,0.98
 72-82,0,0,0,0,7.85,1.96,113.87,0,0,2.94,14.72,0,0,0,0,0,1.96,0,0,63.81,2.94,3.93,494.76,0,23.56,12.76,0,1.96,0,0,0,0,54.97,1.96,2.94,0.98,0,0
 84-94,0,0,0,0,8.5,0,73.28,0,1.06,2.12,11.68,1.06,0,0,1.06,0,0,0,0,52.04,1.06,2.12,259.14,0,14.87,12.74,0,3.19,0,0,0,0,33.99,1.06,0,0,0,0
 96-106,0,0,0,0,6.56,1.09,64.48,0,1.09,0,14.21,1.09,0,1.09,0,0,0,0,0,52.46,2.19,2.19,263.38,0,26.23,10.93,0,1.09,0,0,0,0,24.04,1.09,0,1.09,1.09,0
108-118,0,0,0,0,8.43,2.3,63.57,0,2.3,0.77,15.32,0.77,0.77,0,0.77,0,0,0,0,28.34,0,0,277.28,0.77,16.85,13.79,0,0,0,0,0,0,16.85,1.53,2.3,0.77,0.77,0
120,1.96,0,0,0,9.8,0,43.12,0,7.84,1.96,13.72,1.96,1.96,1.96,0,0,0,0,1.96,19.6,1.96,0,337.08,3.92,17.64,7.84,0,0,0,0,0,0,9.8,3.92,0,3.92,0,0
