stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,hatching.gland,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,18.39,533.28,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0
  7-9,2.63,5.26,0,0,5.26,0,5.26,0,0,60.46,2.63,0,18.4,0,2.63,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,18.88,0,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,24.04,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,6.89,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,31.36,0,0
