stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,22.03,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,2,0
 24-34,0.82,0.82,0,3.28,0,2.46,0,1.64,0,0,0,0,0,16.42,0,0,0,3.28,0
 36-46,0,0,0,21.75,0,0.81,0,1.61,0,0,0,1.61,0,33.03,0,0,0.81,16.92,0
 48-58,0,0.57,0,17.21,0,2.87,0,2.3,0,0,0,4.02,0,14.92,0,0,0,6.89,0
 60-70,0,0,0,15.7,0,0.98,0,1.96,0,0,0,5.89,0,9.82,0,0,0,0.98,0
 72-82,0.98,0,0,2.94,0.98,0,1.96,1.96,0,0,0,7.85,0.98,0.98,0.98,0,0,0.98,0.98
 84-94,0,0,0,3.19,0,2.12,1.06,3.19,1.06,0,0,8.5,0,4.25,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,3.28,0,1.09,0,1.09,10.93,0,6.56,0,0,0,1.09,0
108-118,0,0.77,0,1.53,0,0,2.3,0,2.3,0,0,6.13,0,2.3,0,0,0,0,0
120,0,0,0,3.92,0,0,3.92,0,0,3.92,1.96,7.84,0,1.96,0,0,0,0,0
