stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,12,17,4,0,0,0,0,0,3,5,0,0,0,1,0,0,1,2,12,0,0,9,29,2,0,1,2,0,7,5,0,0,2,10,0,2,0,0
 24-34,0,0,0.82,19.7,11.49,0.82,0,4.93,0.82,0,0.82,13.13,9.03,0,3.28,0,0,0,0,0.82,4.93,38.58,0,0,26.27,173.2,4.1,4.1,0,0,0,4.1,0.82,12.31,0,4.1,68.95,0,21.34,0,0.82
 36-46,0,0,0,1.61,10.47,0,0,16.11,3.22,0,2.42,6.45,3.22,0,0.81,0.81,0,0,0.81,1.61,0.81,30.62,0.81,0.81,8.86,299.71,0,0.81,0,0,0,1.61,0,12.09,0,0,74.93,0,16.11,0,0
 48-58,0,0,1.72,0,2.3,0,0,67.14,0,0.57,3.44,11.48,1.15,0,0,0.57,0.57,1.72,0,4.02,2.3,17.21,0,1.72,2.3,309.85,0,1.15,0,0,0,0,0,1.15,0,0,45.9,0,18.94,0,1.72
 60-70,0,0,0.98,0,2.94,0,0,231.64,0,0.98,3.93,22.58,1.96,0,0,0.98,0,0,0,4.91,1.96,23.56,0,0.98,2.94,506.47,0,0.98,0,0,1.96,0.98,0,1.96,0,0,73.61,0.98,12.76,0.98,0
 72-82,0,0,2.94,0,6.87,2.94,0,286.65,0,0.98,7.85,47.12,8.83,0,0,0.98,0,0,0,6.87,0,66.75,0,0.98,4.91,398.55,0,1.96,0,0,2.94,2.94,0,3.93,0,0,65.77,0,30.43,1.96,1.96
 84-94,0,0,0,0,3.19,2.12,1.06,199.66,0,0,7.43,21.24,6.37,0,1.06,1.06,2.12,2.12,0,32.92,2.12,44.61,0,3.19,2.12,206.04,0,1.06,0,0,3.19,2.12,0,8.5,0,0,43.54,0,20.18,1.06,1.06
 96-106,0,0,4.37,0,19.67,2.19,2.19,246.98,1.09,1.09,3.28,55.74,19.67,0,3.28,4.37,2.19,3.28,0,36.06,0,107.1,1.09,2.19,5.46,238.24,1.09,6.56,0,0,6.56,4.37,0,12.02,1.09,0,32.79,4.37,37.16,3.28,2.19
108-118,0,0,3.06,0,38.3,0.77,11.49,227.49,0,6.89,5.36,67.4,18.38,0,0.77,3.06,5.36,4.6,0,83.49,0.77,117.19,1.53,4.6,6.89,285.7,1.53,3.06,0,0,6.89,3.06,0,11.49,0.77,0,25.28,1.53,42.13,1.53,10.72
120,0,0,3.92,0,31.36,0,0,184.22,1.96,7.84,3.92,56.83,19.6,0,3.92,0,0,3.92,0,62.71,1.96,103.87,1.96,7.84,9.8,270.45,1.96,3.92,0,0,7.84,7.84,0,19.6,0,0,27.44,3.92,41.16,1.96,1.96
