stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,glial,hatching.gland,iridophores,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste
  3-4,382.16,6206.81,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0
  5-6,300.35,3144.5,0,6.13,0,0,6.13,0,0,0,61.3,0,0,12.26,61.3,0,0,0,0
  7-9,13.14,31.54,0,10.51,52.57,0,2.63,0,0,0,799.13,49.95,0,265.5,0,15.77,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,31.47,3.15,0,15.73,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,3.28,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,7.84,1.96,0
