stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,melanocytes,mesenchyme,neural,otic,paraxial.mesoderm,periderm,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,7.89,0,0,0,0,0,36.8,0,5.26,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,0,18.88,0,6.29,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96
