stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.11,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1459,1,0,8,14,0,0,2,2,2,0,6,0,0,0,0,4,4,0,2,25,0,2,3,2,0,11,0,3,3,3,2,0,0,0,0
 24-34,0.82,0,0,2.46,888.17,0,0,9.03,75.52,0,1.64,4.1,1.64,0.82,3.28,3.28,0,0,0,0.82,3.28,8.21,0,2.46,36.94,1.64,2.46,3.28,0,0,27.09,0,0,4.1,1.64,4.93,0,0,1.64,0
 36-46,0,0,0,1.61,460.84,0,0,6.45,85.4,0,0,5.64,0,1.61,2.42,1.61,0,0,0,0.81,0.81,2.42,0,0,32.23,1.61,4.03,0.81,0,0,16.92,0.81,0,1.61,0,5.64,0,0,1.61,0
 48-58,0,0,0,0,364.94,0,0,12.05,142.88,0,0.57,4.02,0,0.57,1.15,0.57,0,1.15,0.57,0.57,3.44,6.31,0.57,0,39.59,1.72,4.59,0,0,0,12.62,0,0,1.72,0,5.16,0,0,1.15,0
 60-70,0,0,0.98,0,321.94,0,0,7.85,107.97,0.98,0.98,13.74,0,0,4.91,1.96,0,0,2.94,0.98,8.83,9.82,0,0,29.45,2.94,1.96,0.98,0,0.98,21.59,0,0,1.96,0,3.93,0,0.98,1.96,0
 72-82,0,0,4.91,0,435.86,0,0,14.72,133.51,0,1.96,24.54,0.98,0,8.83,6.87,0.98,0,0.98,0,16.69,16.69,2.94,1.96,32.39,0.98,2.94,0,0,0,31.41,0,0,3.93,0,0,3.93,0,3.93,0
 84-94,1.06,0,1.06,0,672.27,1.06,0,6.37,206.04,0,4.25,44.61,0,0,18.05,11.68,0,1.06,0,0,6.37,10.62,0,1.06,14.87,1.06,5.31,1.06,0,0,65.85,0,0,5.31,0,0,14.87,0,1.06,1.06
 96-106,0,0,3.28,0,817.45,1.09,0,14.21,238.24,0,2.19,44.81,0,1.09,25.14,12.02,1.09,3.28,2.19,0,13.11,25.14,2.19,0,37.16,1.09,13.11,1.09,0,0,43.71,0,0,0,0,2.19,12.02,0,3.28,1.09
108-118,0,0,3.06,0,803.5,0.77,2.3,8.43,313.28,3.06,4.6,59.75,0,0.77,23.74,15.32,0,0.77,3.06,0.77,21.45,16.09,1.53,0.77,28.34,1.53,11.49,0.77,0,0,36.77,0,0,1.53,0,0.77,18.38,0.77,3.06,1.53
120,1.96,0,0,0,597.73,0,0,3.92,201.86,0,0,41.16,0,0,19.6,5.88,0,1.96,1.96,0,5.88,11.76,7.84,0,31.36,1.96,7.84,0,0,1.96,33.32,0,0,0,0,0,5.88,0,7.84,1.96
