stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,12,0,1,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,4,0,1,15,0,1,0,0
 24-34,0,0,0,0,1.64,0.82,0,0.82,0,0,0,9.03,1.64,0,0,0,0,0,0.82,0,0.82,0,0,2.46,4.93,0.82,0.82,0,0,0,0,4.93,2.46,2.46,9.85,0,1.64,0,0
 36-46,0,0,0,0,4.03,0,0,0.81,0,0,0,3.22,4.03,0,0,0,0,0,2.42,0,0,0,0,0.81,5.64,4.03,0,0,0,0,0,2.42,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,2.87,0,0,0,6.31,10.33,0,0,0,0,0,14.92,0,0.57,0,0.57,0,6.89,0.57,0,0,0,0,0,1.72,0,0,8.03,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,3.93,0.98,0,0,42.21,32.39,0,0,0,0,0,45.15,0,2.94,0,0,0,14.72,2.94,0.98,0,0,0,0.98,2.94,0,0,4.91,0,0,0,0
 72-82,0,0,1.96,0,2.94,2.94,0,31.41,0,0,0,175.72,140.38,0.98,0,0,0.98,0,161.97,0,12.76,0.98,0,0.98,57.92,2.94,0.98,0,0,0.98,0,2.94,0,0,1.96,0.98,7.85,0,0
 84-94,0,0,2.12,0,8.5,2.12,3.19,19.12,0,1.06,0,118.95,251.7,0,2.12,0,0,0,493.85,0,3.19,1.06,0,1.06,40.36,1.06,3.19,0,0,1.06,0,4.25,0,0,3.19,1.06,2.12,0,1.06
 96-106,0,0,6.56,0,15.3,5.46,2.19,38.25,2.19,0,1.09,252.45,342.06,0,4.37,2.19,0,1.09,762.81,0,26.23,0,0,4.37,168.3,4.37,1.09,0,0,7.65,0,6.56,0,0,9.84,2.19,3.28,0,1.09
108-118,0,0,1.53,0,4.6,3.06,1.53,26.81,0.77,0,1.53,238.21,266.56,0,0.77,0.77,0.77,0.77,1349.63,0,19.15,0,0.77,2.3,121.02,2.3,1.53,0,0.77,4.6,0,5.36,0,0,6.89,0.77,3.06,0,0
120,0,0,0,0,7.84,1.96,1.96,19.6,0,3.92,0,221.46,111.71,0,5.88,0,0,0,576.18,1.96,7.84,0,0,1.96,60.75,1.96,0,0,0,5.88,0,1.96,0,0,1.96,0,0,3.92,1.96
