stage,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,3.15,25.18,0,0,3.15,0,12.59,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,10,0,4,21,1
 24-34,0,0.82,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,2.42,0.81,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.57
 60-70,2.94,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,2.3,0,0,0.77,0.77,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
