stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,7.89,73.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,15.73,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,166.79,12.59,0,0,37.76,50.35,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,141,0,0,1,0,5,0,0,6,11,2,0,32,0,0,0,0,2,5,0,1,21,1,0,3,1,277,3,1,6,1,5,8,0,0,0,0,1
 24-34,0,0,0.82,2.46,141.19,0,0,5.75,0,41.04,0,2.46,0.82,0.82,0.82,0,131.34,0.82,2.46,1.64,0.82,2.46,37.76,0,8.21,92.76,0.82,12.31,4.93,0,736.31,0,0,10.67,0,1.64,14.78,0,0,0.82,0,8.21
 36-46,0,0,0,0,57.2,0,0,8.86,0,22.56,0.81,8.86,1.61,0,0,0,37.87,0.81,8.86,1.61,0.81,4.83,12.89,0,0.81,70.09,3.22,23.36,6.45,0,621.17,1.61,0,4.83,1.61,0,13.7,0,0,0,0,10.47
 48-58,0,0,0,0,38.44,0,0,29.84,0,26.4,0,10.33,0.57,1.72,0,0,17.79,3.44,3.44,2.3,0,13.2,16.64,0,1.15,45.9,0,13.77,12.62,0,590.45,0,0,2.3,0,0,12.62,0,1.15,1.15,0,6.31
 60-70,0,0,1.96,0,49.08,0,0,73.61,0,15.7,0,9.82,8.83,0,0.98,0,20.61,0,9.82,4.91,0,17.67,10.8,0.98,0,41.22,0,25.52,14.72,0,336.66,0,0,1.96,0,0,7.85,3.93,0,0.98,0,5.89
 72-82,0,0,5.89,0,54.97,0,0.98,82.46,0,14.72,0,16.69,23.56,0.98,0,0,39.27,0,20.61,2.94,0,19.63,17.67,1.96,0.98,33.38,0,28.47,15.71,0,288.61,0.98,0,3.93,0,0,2.94,11.78,0,1.96,0,7.85
 84-94,0,0,4.25,1.06,137,1.06,1.06,92.4,0,30.8,0,6.37,55.23,1.06,0,0,70.09,2.12,21.24,6.37,0,10.62,23.36,2.12,1.06,16.99,0,41.42,31.86,0,799.71,0,0,5.31,1.06,0,3.19,53.1,0,1.06,0,6.37
 96-106,0,0,6.56,0,218.57,1.09,5.46,67.76,0,18.58,1.09,8.74,56.83,0,0,2.19,81.96,4.37,28.41,6.56,0,17.49,24.04,0,1.09,28.41,0,46.99,32.79,0,645.87,0,0,3.28,0,0,3.28,66.66,1.09,1.09,1.09,3.28
108-118,0,0,0.77,2.3,192.26,0.77,7.66,34.47,0.77,20.68,0,2.3,68.94,0,0,1.53,62.04,6.13,22.98,4.6,0,16.85,15.32,0,0.77,25.28,0,29.87,21.45,0,464.94,0,0,3.83,0,0,0.77,71.23,0,0.77,0.77,10.72
120,0,0,1.96,1.96,105.83,0,1.96,23.52,0,9.8,0,1.96,39.2,0,0,0,19.6,1.96,13.72,0,0,13.72,11.76,0,0,19.6,1.96,19.6,9.8,0,301.81,0,0,1.96,0,0,1.96,17.64,0,0,0,1.96
