stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,202.28,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,13.14,0,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,157.72,5.26,0,0,52.57,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,56.65,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,23,0,0,0,0,0,1,0,1,1,5,0,0,0,0
 24-34,0,0,0,3.28,0,0,4.93,0,0,0,0,0,0,0,0,0,0.82,0,5.75,0,0,4.1,63.21,2.46,0,0,0,0,1.64,0,0,0.82,21.34,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,11.28,0,0,0.81,0,0,0,0,0,0.81,0,0.81,6.45,0,0,2.42,41.89,0.81,2.42,0.81,0,0,0.81,0,0,0,10.47,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,25.82,0,0,2.87,0,0,0,0,0.57,0,0,1.72,5.74,0.57,0,0.57,22.95,0,0,0.57,0,0,2.3,0,0,0,6.31,0,2.3,0,0.57
 60-70,0,0,0,1.96,0,0,16.69,0,0,0,0,0.98,1.96,0,2.94,0,0,2.94,4.91,0,0,0.98,11.78,0.98,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,0,9.82,0,0,1.96,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0,17.67,0,0,1.96,0,0,1.96,0,0,0,0,0,5.89,0,0
 84-94,0,0,0,3.19,0,0,10.62,0,0,0,1.06,0,1.06,1.06,0,0,1.06,11.68,3.19,0,0,1.06,5.31,0,0,0,0,1.06,3.19,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,2.19,0,0,4.37,2.19,2.19,3.28,0,0,0,0,1.09,0,0,3.28,2.19,0,1.09,0,5.46,0,0,0,0,0,21.86,0,0,0,0,0,2.19,2.19,3.28
108-118,0,0,0,2.3,0,3.06,8.43,1.53,0,2.3,0.77,0,3.06,0,3.06,0.77,0.77,6.89,3.83,0.77,0,0.77,10.72,0,0,0,0,1.53,6.89,0,0,0,0.77,0,2.3,0,4.6
120,0,0,0,7.84,0,1.96,1.96,1.96,1.96,3.92,1.96,0,0,0,1.96,0,0,3.92,1.96,0,0,0,5.88,0,3.92,1.96,0,0,9.8,0,0,0,1.96,0,0,0,3.92
