stage,epidermis,eye,fast_muscle,glial,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,slow_muscle,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,1,0,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0
 48-58,0,2.3,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,4.91,0,0,0,0,1.96,0,0,2.94,0,0,0,0
 72-82,0,2.94,0,0,0,0,3.93,0.98,0.98,2.94,0,0.98,0,0.98
 84-94,0,23.36,1.06,0,2.12,1.06,6.37,1.06,0,4.25,0,0,0,0
 96-106,1.09,15.3,0,0,1.09,1.09,2.19,0,0,2.19,0,0,0,1.09
108-118,0,15.32,0.77,0.77,1.53,0.77,3.83,0.77,0.77,2.3,0,0.77,0,0.77
120,0,3.92,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0
