stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,49.04,668.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,15.77,0,0,0,26.29,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,276.01,13.14,0,0,105.15,0,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.05,22.03,0,0,81.82,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,3,4,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,51,1,0,0,3,0,1,0,5,1,9,19,0,0,1,0
 24-34,0,0,0.82,0.82,3.28,0,0,12.31,0,0,0.82,0.82,0,0,0.82,0,1.64,0.82,0,0.82,11.49,0,0,6.57,119.84,0.82,1.64,0,0,0,3.28,0,0,0,1.64,18.88,0,0,4.93,0
 36-46,0,0,0,0,0.81,0,0,16.92,0,0,0.81,4.03,0,0,1.61,0.81,0,0,0,0,8.86,0,0.81,2.42,124.07,0.81,0.81,0,0,0,3.22,0,0,0,0,29.81,0,0.81,3.22,0
 48-58,0,0,0,0,2.3,0,0,31.56,0.57,0,0,6.89,0.57,0.57,0,0,0,0,0.57,0,11.48,0,0,1.15,83.2,0,0.57,0,0,0.57,1.72,0,0,0,0,18.94,0,0,1.72,0
 60-70,0,0,0,0,0.98,0,0,46.13,0,0,0.98,5.89,0.98,0,0,0,0,0,0.98,0,23.56,0,0,0.98,98.15,0,0.98,0,0,0,0.98,0,0,0,0,17.67,0,0.98,1.96,0
 72-82,0,0,0,0,2.94,3.93,0,30.43,0,0,0,5.89,0,0,0.98,0.98,0,0,0,0,23.56,0.98,0.98,0.98,83.44,0,0.98,0.98,0,0,0.98,0,0,0,0,5.89,0,0,1.96,0
 84-94,0,0,1.06,0,8.5,1.06,0,21.24,0,0,0,6.37,0,0,0,0,2.12,0,1.06,0,8.5,0,0,1.06,45.67,0,0,0,0,0,9.56,0,0,0,0,6.37,1.06,0,1.06,0
 96-106,0,0,0,0,3.28,2.19,0,12.02,0,0,1.09,4.37,3.28,0,0,1.09,4.37,0,0,1.09,7.65,0,0,4.37,18.58,0,0,3.28,0,1.09,4.37,0,0,0,0,2.19,0,1.09,2.19,0
108-118,0,0,0,0,7.66,0.77,0,10.72,0,0.77,0.77,3.83,4.6,0,0,1.53,1.53,0.77,0,0,6.13,0.77,0.77,3.83,36,0,0.77,3.06,0,0,2.3,0,0,0,0,1.53,0,1.53,2.3,0.77
120,0,0,0,0,3.92,0,1.96,15.68,0,0,0,9.8,0,0,0,0,1.96,0,0,0,7.84,1.96,0,1.96,29.4,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0
