stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0.82,0.82,0,1.64,0,0,10.67,0.82,3.28
 36-46,0,0,0,0.81,0,0.81,0,0,0,0.81,0.81,0,0,0,1.61,0,0,11.28,0,2.42
 48-58,0,0,0,0,0,0,0,0,1.72,1.15,0,0,0.57,0.57,1.72,0,0,4.02,0.57,0
 60-70,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0.98,0,0,5.89,0,0.98
 72-82,0,0,0,0.98,0,1.96,0,2.94,4.91,0.98,0,0,1.96,0,6.87,0,0,8.83,0,0
 84-94,0,0,1.06,0,0,0,0,2.12,14.87,2.12,0,2.12,0,0,2.12,0,0,25.49,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,1.09,3.28,2.19,0,2.19,0,0,2.19,0,0,21.86,0,1.09
108-118,0,0,0,1.53,0,0.77,0.77,3.06,12.26,0.77,0,0.77,0,0,2.3,0,0,26.81,0,0
120,0,0,0,1.96,1.96,1.96,0,7.84,9.8,0,0,1.96,0,0,7.84,0,0,19.6,0,0
