stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,2.63,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,0,0,0,0,0,23,0,1,2,1,0,0,0,4,5,7,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,1.64,22.16,0,0,0,0,0,0.82,0,0.82,0,4.1,0
 36-46,0,0,0,0,7.25,0,0.81,0,0,0,0,0,0,20.95,0,0,0,0,0,1.61,0,0,0,4.83,0
 48-58,0,0,0,0,9.75,0,3.44,0.57,0,0.57,0,0.57,0.57,20.66,0,0.57,0,0,0,0.57,0,0,0,5.16,0
 60-70,0,0,0,0,13.74,0,0.98,0,0,0,0.98,3.93,0,19.63,0.98,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,18.65,0,4.91,0,0,0.98,0,4.91,0,23.56,0,0,0,0,0,0,0,0,0,2.94,1.96
 84-94,0,0,0,0,4.25,0,3.19,0,0,0,0,2.12,0,7.43,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,10.93,0,2.19,0,1.09,0,0,2.19,0,13.11,0,1.09,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,6.13,0,1.53,0,0.77,0.77,0,1.53,0.77,10.72,0,0,2.3,0,0.77,0,0,0,0,0,0.77
120,0,0,0,1.96,7.84,1.96,3.92,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0
