stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,17,0,0,0,1,1,2,0,3,12,0,0,1,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0.82,0,0,0,7.39,0,18.06,0.82,0.82,0,0,0,0,0,0.82,12.31,0,0,0,0
 36-46,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,2.42,0.81,23.36,1.61,0,0,1.61,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,0,8.61,0.57,0,0,4.59,0.57,0,0,0,0,0,2.3,0,18.94,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,14.72,0,0.98,0,0.98,0,0,0,0,0,0,2.94,0.98,14.72,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,0,0,11.78,0,0,0.98,3.93,0.98,0,0,0,0,0,5.89,1.96,19.63,2.94,0,0,0.98,0,0,0.98,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,13.81,0,1.06,0,3.19,0,0,0,0,0,1.06,6.37,0,14.87,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,2.19,0,1.09,0,0,1.09,0,2.19,1.09,4.37,2.19,2.19,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0.77,0.77,0.77,2.3,0.77,0,0,0.77,0,0,0,0,0,0,4.6,1.53,7.66,2.3,0,0,0,0,0,0,0,0,0,0,0,1.53
120,0,0,3.92,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,7.84,3.92,5.88,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0
