stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,14,4,0,2,0,0,0,2,0,0,0,2,0,0,0,1,5,0,0,10,16,2,0,2,0,0,1,7,1,16,26,25,0,0,0,0
 24-34,0,0,1.64,3.28,0,0,7.39,0.82,0,3.28,0,0,1.64,0,0,0,0,0,3.28,26.27,1.64,0,9.03,40.22,1.64,0.82,0.82,0,0,0.82,0,0.82,3.28,4.93,22.98,0,4.93,0,0.82
 36-46,0,0,0.81,0.81,0,0,6.45,0.81,0,4.83,0.81,0,1.61,0.81,0,0,0,0,4.83,34.64,0,1.61,14.5,28.2,5.64,0,2.42,0,0,0,0,2.42,0.81,0,10.47,0,6.45,0,2.42
 48-58,0,0,0,1.15,0,0,6.31,3.44,1.15,6.31,0.57,0,1.72,0,0,1.15,0.57,0,1.15,42.46,0,1.72,5.16,11.48,1.72,0,1.15,0,0,0,0,0,1.15,0,6.31,0,5.74,0,5.74
 60-70,0,0,0,2.94,0,0,1.96,3.93,1.96,14.72,0.98,0,0,0,0,3.93,0,0,1.96,75.58,0,0,6.87,8.83,0.98,0,0,0,0.98,0,0,0,0.98,0,2.94,0.98,4.91,0,10.8
 72-82,0,0,0,0,0,0,5.89,0.98,0.98,5.89,1.96,0.98,0.98,0,0,3.93,0,0,0.98,68.72,0,3.93,0.98,8.83,3.93,0,0.98,0,0,0,0,0,0,0,3.93,0.98,14.72,1.96,6.87
 84-94,0,0,0,1.06,0,0,8.5,1.06,0,4.25,3.19,0,0,0,1.06,13.81,0,0,3.19,61.6,0,1.06,4.25,6.37,3.19,0,0,0,0,1.06,0,0,0,0,0,0,10.62,0,6.37
 96-106,0,0,0,4.37,0,1.09,5.46,1.09,1.09,6.56,5.46,0,0,0,0,9.84,1.09,1.09,4.37,50.27,0,0,3.28,9.84,0,0,3.28,0,1.09,0,0,0,1.09,0,1.09,2.19,12.02,1.09,12.02
108-118,0,0,0,1.53,0.77,1.53,4.6,2.3,0.77,9.19,1.53,0,0,1.53,0,30.64,0.77,2.3,7.66,32.17,0,0,3.06,11.49,0,0,0.77,0,0,1.53,0,0,2.3,0,0,1.53,16.09,0.77,6.89
120,0,0,0,0,0,0,3.92,0,0,1.96,3.92,0,1.96,1.96,0,11.76,1.96,1.96,1.96,31.36,0,3.92,0,5.88,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,1.96,5.88,1.96,0
