stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,1,0,0,0,0,0,0,0,22,0,16,2,1,0,0,0,3,1,0,0,0,0,0
 24-34,0,4.1,0.82,4.1,0.82,0,0,0,0.82,0,0,33.66,0,6.57,4.1,0,0,0,0,2.46,0.82,0,0,0,0,0
 36-46,0,0,0,3.22,5.64,0,0,0,0,0,0,35.45,0,8.06,1.61,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,1.15,1.15,2.3,9.75,0,0,0,0.57,0,0,47.05,0,11.48,1.72,0.57,0,5.16,0,0,0,0,0,0,0,0.57
 60-70,0,1.96,2.94,4.91,4.91,0.98,0,0,0.98,0,0,112.88,0,7.85,2.94,0,0,3.93,0,0,0,0,4.91,0,0,0
 72-82,0,1.96,5.89,0.98,11.78,1.96,0,0,0.98,0,0,168.85,0.98,7.85,3.93,0,0.98,12.76,0,0,0,0,15.71,0.98,0.98,0
 84-94,0,4.25,14.87,5.31,13.81,4.25,0,0,5.31,1.06,0,151.87,0,2.12,3.19,0,0,7.43,0,0,0,0,10.62,0,2.12,0
 96-106,0,4.37,9.84,1.09,6.56,3.28,0,2.19,6.56,1.09,0,138.79,1.09,1.09,2.19,0,0,12.02,1.09,0,0,1.09,25.14,1.09,0,0
108-118,0,6.89,7.66,6.89,5.36,0.77,0,0.77,15.32,1.53,0.77,101.11,0,1.53,6.89,0,0,18.38,0.77,0,0,0,31.4,0,0.77,0
120,0,5.88,3.92,5.88,5.88,0,1.96,0,3.92,0,0,52.91,1.96,0,3.92,0,0,11.76,0,0,0,0,13.72,0,0,0
