stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,7,0,0,0,0,0,0,6,1,2,0,0,19,0,0,0,0,0,0,0,1,3,7,0,0,0,2
 24-34,0,0.82,0.82,1.64,0,0,20.52,0,0,0,0,0,0,1.64,1.64,4.1,0,0.82,36.94,0,0,0,0,0,0.82,0,1.64,0,9.03,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,17.72,0,0,4.03,0,0,0.81,2.42,0,1.61,0,0,23.36,0,0,0,0,0,0,0,2.42,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,22.95,0,0,6.89,0,0,0,0,0,13.2,0,0,14.92,0,1.15,0,0,0,0.57,0,2.87,0,6.89,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,40.24,0,0,33.37,0.98,0,0,0,0,38.28,0,0.98,22.58,0,0,0.98,0,0,0,0,2.94,0,7.85,0,0,0,0
 72-82,0,0,0,0,0,0,45.16,0,1.96,91.29,6.87,0,0.98,0,0,52.03,0,0.98,27.49,0,0.98,0.98,0,0,2.94,0,2.94,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,75.4,0,0,44.61,6.37,0,0,0,0,35.05,1.06,3.19,22.3,0,0,0,0,0,1.06,0,1.06,0,2.12,2.12,2.12,1.06,1.06
 96-106,0,1.09,0,0,0,1.09,77.59,0,1.09,42.62,28.41,0,0,0,0,59.01,0,1.09,36.06,0,1.09,0,0,1.09,2.19,1.09,2.19,0,6.56,3.28,2.19,1.09,1.09
108-118,0,0.77,0,6.89,0,0,54.38,0,0,39.06,52.09,0.77,0,0.77,0,38.3,0.77,1.53,39.06,1.53,1.53,0.77,0,1.53,2.3,0,1.53,0,1.53,0.77,2.3,0.77,0
120,0,0,0,3.92,0,0,39.2,1.96,1.96,31.36,41.16,0,0,1.96,0,33.32,1.96,0,37.24,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
