stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,9.44,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,36,3,0,0,2,0,0,2,0,0,3,9,0,0,0
 24-34,0,0,0,1.64,0,0,5.75,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,57.46,2.46,0,0,0,0,0,0,0,0,0,13.95,0.82,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,145.83,0.81,0,0,0,0,0,0,0,0,0,27.39,4.83,0,0
 48-58,0,0,0,0,0,0,13.2,0.57,2.3,0,0,0.57,0,0,0,0.57,0,2.87,0,0.57,1.15,143.45,0,0,0,0,0,0,0,0,0,0,13.2,2.87,0,0.57
 60-70,0,0,0,0,0,0,31.41,2.94,9.82,0,0,0,0,0,0,0,0,6.87,0,0,1.96,270.9,0,0,3.93,0,0,0.98,0,0,0,0,11.78,1.96,0,0.98
 72-82,0,0,0,0,0.98,0,54.97,0,6.87,0,0,0.98,0,0,0,0,0.98,5.89,0,0,0,213.02,2.94,0,3.93,0,0,0,0,0,0,0,5.89,4.91,0,0.98
 84-94,0,0,0,2.12,0,0,37.17,2.12,6.37,0,0,0,1.06,0,0,0,0,4.25,2.12,2.12,0,80.71,3.19,0,1.06,0,0,0,0,1.06,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,0,0,29.51,1.09,2.19,1.09,0,0,0,0,0,0,0,6.56,0,0,0,75.41,1.09,2.19,1.09,0,1.09,0,0,0,0,0,1.09,2.19,2.19,0
108-118,0,0,0,1.53,0,0.77,30.64,0.77,3.83,0,0,0,0,0,1.53,0,0,4.6,0,0,0,103.41,3.06,0,0.77,0,0,0.77,0,0,1.53,0,0,3.83,0,0
120,0,1.96,0,1.96,0,0,25.48,1.96,5.88,0,0,0,0,1.96,0,0,0,5.88,0,0,0,113.67,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0
