stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,3,0,12,0,0,0,11,0,1,0,0,0,0,0,20,0,16,163,2,0,0,3,0,0,10,0,27,54,0,0,1,0,0
 24-34,0,2.46,6.57,0.82,0,12.31,0,0,1.64,13.95,0,1.64,0,0,0,0,0,63.21,0,25.45,468.71,1.64,0,3.28,0,0,0,0.82,0,3.28,156.78,0,0,1.64,0,0.82
 36-46,0,0,8.86,0,0,17.72,0,0.81,4.83,41.09,0,0,0,0,0,1.61,0,77.34,2.42,26.59,302.13,0.81,0,4.03,0,0,0.81,0,0,0,123.27,0,0.81,2.42,0,0
 48-58,0,0,4.02,0,0,17.79,0.57,0.57,2.3,39.02,0,0,0,0,0,0,0,99.27,8.03,12.62,100.99,0.57,1.15,1.72,0,0.57,0.57,0,0,0,60.82,0,0.57,0.57,0.57,0.57
 60-70,0,0,1.96,0,0,21.59,0,0.98,0.98,53,0,0.98,0,0,0,1.96,0,159.01,11.78,11.78,57.91,0,0,0,0,0.98,0,0,0.98,0,16.69,0,7.85,1.96,4.91,0
 72-82,0,0,4.91,0,0,22.58,0,0,1.96,77.55,0.98,0,0,0,0,0.98,0,190.44,7.85,8.83,62.83,0,0,0,0,0.98,0,0,0,0,11.78,0.98,8.83,3.93,23.56,0
 84-94,1.06,0,20.18,0,0,30.8,3.19,0,2.12,43.54,0,1.06,1.06,3.19,0,1.06,0,183.73,16.99,14.87,48.85,2.12,1.06,1.06,0,2.12,3.19,0,0,0,5.31,1.06,13.81,3.19,21.24,0
 96-106,1.09,0,13.11,0,0,15.3,1.09,0,1.09,45.9,1.09,1.09,1.09,0,1.09,0,1.09,143.16,5.46,9.84,41.53,1.09,0,3.28,0,0,2.19,0,1.09,0,5.46,1.09,7.65,1.09,19.67,0
108-118,0,0,10.72,0.77,2.3,10.72,0.77,0.77,0,37.53,0,0,0,1.53,0,0,0.77,103.41,3.06,9.96,32.17,0.77,0.77,4.6,0,3.83,0,0,0,0,4.6,0.77,3.83,0.77,16.85,0
120,0,0,7.84,3.92,0,11.76,0,0,1.96,50.95,0,0,0,0,0,0,0,80.35,3.92,1.96,41.16,0,0,0,0,3.92,0,0,1.96,0,3.92,0,1.96,0,7.84,0
