stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,0,0,136.69,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,344.36,5.26,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,25.18,0,9.44,0,3.15,0,91.26,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,780.45,9.44,0,0,223.43,0,6.29,6.29,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,7,84,14,0,103,0,0,0,5,2,0,0,0,2,0,1,0,2,38,0,0,28,558,3,2,9,16,3,0,105,1,2,201,143,0,0,1,0,2
 24-34,0,0,7.39,18.88,3.28,0,113.28,0.82,0.82,0,9.85,1.64,0,0,0.82,0,0.82,4.1,3.28,0.82,44.33,0,0,18.88,495.8,3.28,0.82,8.21,0,1.64,0,1.64,0.82,1.64,41.86,89.47,0,0,0.82,0,3.28
 36-46,0,0,0,6.45,0,0,66.87,3.22,0,0,20.95,0,0,0,0.81,0,0,0,0.81,0,27.39,0,1.61,12.89,272.32,0,3.22,2.42,0,0.81,0,0,0,0,2.42,45.92,0,0,2.42,0,1.61
 48-58,0,0,0,3.44,0,0,79.76,0,1.15,1.72,33.85,0.57,0,0.57,0.57,0,0,1.72,0,0,25.82,0,1.72,14.92,109.6,0.57,0.57,1.15,0,0.57,0,0,0,0.57,0,15.49,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,60.85,1.96,2.94,1.96,44.17,0,0,0.98,0.98,1.96,0.98,3.93,0.98,0,33.37,0,1.96,8.83,96.19,0,0.98,0,0,0.98,0,0,0,0,0,5.89,0.98,0,0,0,0
 72-82,0,0,0,5.89,3.93,0,41.23,0.98,0,0.98,39.27,0,0,0.98,2.94,0.98,0.98,3.93,3.93,0,39.27,0,0.98,11.78,99.15,0,1.96,0,0,0.98,0,0,0,0,0,10.8,0.98,0.98,4.91,1.96,0.98
 84-94,0,0,0,8.5,5.31,0,48.85,0,0,5.31,32.92,4.25,0,1.06,4.25,1.06,0,2.12,4.25,0,37.17,0,2.12,12.74,74.34,1.06,1.06,2.12,0,0,0,0,0,0,0,2.12,0,1.06,2.12,2.12,0
 96-106,0,1.09,0,16.39,2.19,1.09,39.34,3.28,1.09,3.28,44.81,2.19,0,3.28,8.74,2.19,0,3.28,4.37,0,27.32,0,1.09,12.02,69.94,1.09,3.28,5.46,0,4.37,0,0,0,0,0,3.28,0,2.19,1.09,1.09,0
108-118,0,0.77,0,17.62,6.13,3.83,32.94,1.53,0,5.36,38.3,5.36,0,0.77,6.13,3.06,3.83,2.3,27.57,0,52.09,0.77,1.53,29.11,101.87,3.06,3.83,3.06,0,0.77,0,0,1.53,0,0,0.77,0.77,1.53,2.3,2.3,0
120,0,0,1.96,29.4,17.64,0,35.28,0,0,5.88,50.95,5.88,0,1.96,9.8,0,0,3.92,9.8,0,48.99,1.96,0,43.12,131.31,0,0,7.84,0,0,0,0,1.96,1.96,0,3.92,0,1.96,5.88,0,1.96
