stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,7.89,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,1.64,0,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,1.61,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,2.87,1.15,0,0,0,0,7.46,0.57,0,0,3.44,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,3.93,0,0,0,0.98,22.58,0,0,0,6.87,0,0,0,1.96,0,0
 72-82,0,0,0,2.94,9.82,2.94,0,0,0,61.84,0,0,0,3.93,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,5.31,2.12,0,0,0,0,26.55,0,0,0,3.19,0,0,2.12,0,0,0
 96-106,0,0,1.09,3.28,3.28,0,0,0,0,36.06,1.09,1.09,1.09,6.56,1.09,0,0,0,0,0
108-118,0,0,0,3.83,4.6,0.77,0,0,0,40.6,0,0,3.06,3.06,0,0,0,0,0,0
120,0,0,3.92,3.92,3.92,1.96,0,1.96,0,72.51,0,0,0,5.88,0,0,0,0,0,1.96
