stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,44,1,0,0,2,0,18,1,0,3,2,35,1,110,0
 24-34,0,0,2.46,2.46,0,32.01,0,0,0,2.46,0.82,19.7,0,4.1,0,0,29.55,0,72.24,0.82
 36-46,0,0,0,0.81,0,19.34,0.81,0,0.81,0,0,12.89,0,4.83,0.81,0,12.09,0,31.42,0
 48-58,0,0,0,0,1.72,17.79,0,0.57,0,0,0,10.9,0,2.3,0.57,0,4.02,0,24.67,0
 60-70,0,0,0,0,0.98,11.78,0,0,0,0.98,0,3.93,0,0.98,0.98,0,2.94,0,10.8,0
 72-82,0,0,0,0,0,7.85,0,0,0,0,0,8.83,0,4.91,1.96,0,1.96,0,2.94,0
 84-94,0,1.06,0,0,1.06,7.43,0,1.06,0,0,0,3.19,0,4.25,2.12,0,3.19,0,4.25,0
 96-106,0,0,0,0,1.09,6.56,0,6.56,0,0,0,3.28,0,6.56,4.37,0,0,0,1.09,0
108-118,0,0.77,0,0,0.77,7.66,0,1.53,0,0.77,0,2.3,0,3.83,6.89,0,3.06,0,4.6,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0,5.88,0,0,0
