stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,474.41,8895.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,361.65,4480.76,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,30.65,0,73.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.39,13.14,0,0,94.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,160.5,0,0,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,157,9,0,0,0,0,0,0,10,0,3,0,4,0,0,1,0,66,0,22,44,1,0,0,2,0,1,0,8,1,2,6,5,0,0,0,0,0
 24-34,0,0,2.46,0.82,18.88,0,0,7.39,0,4.1,0,0,4.1,0,0,0,0,0.82,0,0,0.82,63.21,0,18.88,179.77,0,3.28,0,0,0,0,0,0,0,0,0,59.92,0,0,1.64,0,0
 36-46,0,0,1.61,0.81,4.03,0,0,4.03,0,2.42,3.22,1.61,0.81,0,0,0,0,0,0,0,0,21.75,0.81,7.25,400.42,0,8.86,0,0,0.81,0.81,0,0,0,0,0,117.63,0,0,0,0,1.61
 48-58,0,0,0,0,10.33,0,0,31.56,0.57,2.87,4.02,6.89,0,0,0,0,0.57,0,0,0.57,0,10.9,1.72,4.59,675.94,0,1.72,0.57,0,0,1.72,0,0.57,0,0,0.57,100.99,0,0,0.57,0,1.72
 60-70,0,0,0,0,18.65,0.98,0,145.27,0,2.94,4.91,36.32,6.87,0,0,0.98,0.98,0,0.98,0.98,0,24.54,1.96,0.98,1397.69,0.98,0.98,0,0,0,0.98,0,0,0,0,0,129.56,0,0,2.94,0,0.98
 72-82,0,0,0.98,0,12.76,2.94,0.98,276.83,0,0.98,4.91,43.19,0,0,0.98,0.98,0,0,0,0,0.98,36.32,0.98,0.98,1356.66,0,8.83,0,0,0,3.93,0,0,0,0,0,99.15,0,0.98,1.96,1.96,0
 84-94,0,0,1.06,0,11.68,0,0,180.55,1.06,0,4.25,40.36,1.06,0,0,1.06,0,0,1.06,0,1.06,12.74,2.12,3.19,689.26,0,6.37,1.06,0,1.06,4.25,0,0,0,0,0,63.72,0,0,2.12,1.06,0
 96-106,0,0,0,0,6.56,0,0,172.67,0,0,1.09,33.88,1.09,0,0,2.19,0,0,0,1.09,0,18.58,1.09,1.09,642.59,0,9.84,1.09,0,0,2.19,0,0,0,0,0,36.06,1.09,1.09,5.46,0,0
108-118,0,0,0.77,0,8.43,1.53,0.77,117.19,0,0,1.53,28.34,0,0,1.53,0,0,0.77,0,0.77,0,14.55,0.77,0.77,616.6,0.77,3.06,3.83,0,0,1.53,0,0,0,0,0,25.28,0,0,1.53,0,0.77
120,0,0,3.92,0,15.68,0,0,117.59,0,3.92,0,29.4,1.96,0,0,0,0,0,0,3.92,0,13.72,0,3.92,772.16,3.92,7.84,1.96,0,1.96,0,0,0,0,1.96,0,35.28,0,0,1.96,0,0
