stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,790.68,9567.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,294.22,2274.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,31.54,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,220.81,7.89,0,0,57.83,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,34.62,0,12.59,0,0,0,34.62,0,0,0,0,0,122.73,0,0,0,0,0,0,0,0,0,0,497.22,62.94,0,0,217.14,0,6.29,0,34.62,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,28,3,0,28,0,0,0,2,0,6,0,0,1,0,0,0,0,4,0,14,127,4,0,1,1,2,0,25,0,0,100,39,0,0,1,0,0
 24-34,0,0,0,1.64,17.24,0,0,31.19,0,7.39,0.82,0.82,0.82,1.64,0,0.82,0,0,0,0.82,0,19.7,0,10.67,115.74,9.03,4.93,0.82,0,2.46,0,0,0,0,16.42,33.66,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,7.25,0,3.22,4.83,0.81,0,0,0.81,0.81,0,0,0,0.81,0,16.11,0,4.83,66.06,3.22,6.45,0,0,2.42,0.81,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,14.35,1.15,1.15,2.87,4.02,1.72,0,0,1.72,0,1.15,0.57,0,0,21.8,0,6.89,53.36,4.02,2.3,0,0,2.87,0,0,0,0,0,9.18,0,0,2.87,0,1.15
 60-70,0,0,0,0,2.94,0,0,13.74,0,0.98,4.91,7.85,1.96,0,0,0,0,0.98,0.98,0.98,0,31.41,0,1.96,73.61,0,3.93,1.96,0,4.91,0,0,0.98,0,0,7.85,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,0.98,18.65,0,1.96,3.93,13.74,4.91,0,0,0,0,0.98,0,0.98,0.98,41.23,0,7.85,70.68,2.94,2.94,1.96,0,3.93,0,0,0,0,0,3.93,0,0,0.98,0,0
 84-94,0,0,0,0,5.31,2.12,0,11.68,0,0,2.12,6.37,2.12,0,0,5.31,2.12,3.19,2.12,4.25,0,36.11,1.06,7.43,41.42,0,3.19,2.12,0,4.25,0,0,0,0,0,2.12,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,7.65,3.28,3.28,15.3,0,1.09,1.09,13.11,5.46,0,0,3.28,0,1.09,1.09,0,0,48.09,3.28,10.93,43.71,3.28,1.09,1.09,0,16.39,0,0,0,0,0,2.19,1.09,1.09,2.19,1.09,1.09
108-118,0,0,0.77,0,13.02,1.53,3.83,10.72,1.53,1.53,2.3,12.26,3.06,0,0,0.77,0.77,0,0.77,0.77,0,30.64,0,13.02,53.62,1.53,3.83,0.77,0,13.02,0,0,0,0,0,4.6,0,1.53,3.06,0,1.53
120,0,0,0,0,25.48,0,0,21.56,1.96,3.92,1.96,7.84,3.92,0,0,1.96,0,0,0,3.92,0,31.36,0,11.76,37.24,3.92,0,0,0,11.76,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0
