stage,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,26.29,5.26,0,0
 10-12,3.15,6.29,0,0,3.15,0,0,6.29,9.44,0,0
 14-21,0,0,0,1,0,0,1,1,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,0.81
 48-58,0,0,0,0,0,0,0,6.89,0,0,1.15
 60-70,0,0,0.98,0,3.93,0.98,0,0.98,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,1.96,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0
