stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,8.21,0,0,0,1.64,0,3.28,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0,0,12.09,0,0,0,1.61,0,3.22,0
 48-58,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,1.72,0,0.57,0,9.75,1.15,0.57,0,0.57,0,2.3,0
 60-70,0,0,0,0.98,0,7.85,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,13.74,3.93,1.96,0,1.96,0,0.98,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,1.96,0,0,0,7.85,5.89,0.98,0,3.93,0,0.98,0
 84-94,0,0,0,1.06,0,3.19,0,0,1.06,1.06,1.06,0,3.19,1.06,1.06,1.06,1.06,0,0,3.19,0,6.37,0,9.56,1.06,1.06,0
 96-106,0,0,0,3.28,0,3.28,0,0,0,0,0,0,0,1.09,0,0,0,0,0,4.37,1.09,5.46,0,7.65,0,0,0
108-118,0,0,0,5.36,0.77,1.53,0,0.77,0.77,0,2.3,0,2.3,1.53,0,0.77,0.77,0,0.77,5.36,4.6,1.53,0,3.83,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,3.92,3.92,1.96,0,1.96,1.96,0,0
