stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,4.93,0,0,0.82,0,1.64,0,0.82,0,0,0,0,6.57,0,0.82,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,6.45,0,3.22,0,0,0,0,0,0,20.95,0,0,0,0,25.78,0,3.22,0,0,0
 48-58,0,0,0,0,0,4.59,1.15,0,12.05,0,1.15,0,0,0,0,1.15,0,17.21,0,0,0,0,39.59,0,4.59,0,0,0
 60-70,0.98,0,0,0,0,19.63,2.94,0,9.82,0,0.98,0.98,0,0,0,0,0,38.28,0,0.98,0,0,34.35,0,0,0,0,0
 72-82,2.94,0,0,0,0,74.61,0,0,20.61,0.98,0.98,0,0,0.98,0,4.91,0,53.01,0.98,0,0,0,28.47,0.98,1.96,2.94,0,0
 84-94,0,0,0,0,0,40.36,0,0,12.74,1.06,2.12,0,1.06,1.06,4.25,2.12,2.12,26.55,0,1.06,0,0,69.03,0,2.12,29.74,1.06,1.06
 96-106,3.28,0,6.56,2.19,0,60.11,2.19,0,14.21,2.19,1.09,1.09,0,0,1.09,2.19,1.09,38.25,0,0,0,0,83.06,0,0,40.44,0,0
108-118,2.3,0,4.6,0,1.53,58.98,2.3,0.77,13.79,1.53,2.3,1.53,2.3,0,2.3,1.53,1.53,42.13,0,0,1.53,0,67.4,0,1.53,59.75,0,0
120,3.92,0,7.84,0,0,31.36,1.96,0,3.92,5.88,1.96,5.88,0,0,0,3.92,0,37.24,0,0,0,0,58.79,0,0,19.6,0,0
