stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,96,0,0,0,0,0,0,1,0,70,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,6.57,0,2.46,0,0,0,0,0,0,0,0,0,0,6.57,0,0,1.64,834.81,0,4.1,4.93,0,0,4.1,0,0,151.86,0,0,1.64,0,2.46
 36-46,0,0,0,0,4.83,0,0,45.12,0.81,0,0.81,5.64,0,0.81,0,0,0,0,0,1.61,10.47,0,0.81,3.22,2644.21,0.81,4.03,1.61,0,0,4.03,0,0.81,315.02,0,0,1.61,0,2.42
 48-58,0,0,0,0,6.31,0.57,0,238.7,0.57,1.72,1.72,22.38,0,1.15,0.57,0.57,1.15,1.15,0.57,0,28.12,1.15,0.57,4.02,3271.84,0.57,1.72,5.74,0,0,3.44,0,0,336.25,0,1.15,2.3,0,5.74
 60-70,0,0,0,0,4.91,0.98,0,511.37,0,0.98,0,19.63,0.98,0,1.96,0.98,0.98,0,0,0.98,16.69,0.98,0.98,2.94,3003.46,0.98,0.98,6.87,0,0,7.85,0,0,244.4,0,0,2.94,0.98,5.89
 72-82,0,0,0.98,0.98,13.74,1.96,0,455.49,0,2.94,3.93,26.5,0,0,1.96,0,1.96,2.94,0,0,30.43,0,0.98,0.98,2055.6,0,0.98,29.45,0,0,4.91,0,0,86.39,1.96,0,0.98,1.96,0.98
 84-94,0,0,1.06,0,27.61,2.12,0,314.36,0,3.19,2.12,36.11,2.12,2.12,0,1.06,2.12,0,1.06,0,35.05,0,2.12,2.12,1074.78,0,2.12,35.05,0,0,1.06,0,1.06,71.16,3.19,1.06,2.12,0,2.12
 96-106,0,0,0,0,20.76,4.37,0,192.34,1.09,0,0,29.51,0,1.09,1.09,0,1.09,4.37,2.19,0,22.95,1.09,3.28,2.19,821.82,0,2.19,46.99,0,1.09,5.46,1.09,0,22.95,1.09,1.09,2.19,0,1.09
108-118,0,0,0,0,10.72,2.3,0.77,104.17,0,3.06,0.77,11.49,0,0.77,3.83,0,0,1.53,0.77,0,12.26,0.77,0,3.06,811.15,0,0.77,29.87,0,0,0.77,0,0,16.85,0,0,0.77,0.77,0.77
120,0,0,0,0,11.76,0,0,121.51,1.96,1.96,3.92,11.76,0,1.96,0,0,0,0,1.96,0,11.76,0,0,5.88,797.63,1.96,0,39.2,0,0,0,0,0,9.8,1.96,0,1.96,0,0
