stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,42.68,0,0.82,0,0,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.21,0,0,0,0,0,0.81,0,29.81,0,0,0,0,0
 48-58,0,0,0,1.15,0,9.75,0,0,2.87,0,0,0,0,0,2.87,2.87,0,195.67,0,0.57,0,0,0,0,0,33.85,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,27.48,0,0,5.89,0.98,0,0,0.98,0,1.96,2.94,0.98,338.63,0,0,0,0,0.98,1.96,0,21.59,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,61.84,0.98,0.98,7.85,3.93,0.98,0,0,0.98,3.93,7.85,0.98,308.24,0,0,0,0,0,0,0,15.71,0,0.98,0,0,0.98
 84-94,0,0,2.12,1.06,1.06,33.99,0,0,6.37,0,0,0,0,1.06,6.37,5.31,0,156.12,2.12,1.06,0,0,0,1.06,0,12.74,0,0,0,0,1.06
 96-106,0,0,0,3.28,2.19,32.79,0,1.09,2.19,0,1.09,1.09,0,0,3.28,5.46,1.09,111.47,0,0,0,0,0,1.09,0,4.37,1.09,0,0,1.09,0
108-118,0,0,1.53,3.06,0.77,21.45,0,0,4.6,0.77,0,0,1.53,0,7.66,2.3,0,121.02,0,1.53,0.77,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,15.68,0,0,1.96,0,0,0,0,0,3.92,0,0,135.23,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0
