stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,57.92,0.98,0,0,0,0,1.96,0,3.93,0,0,0,0.98,0.98,0,0,0,0.98,0,0
 84-94,0,1.06,0,95.58,0,0,0,0,0,0,0,9.56,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,3.28,1.09,261.19,6.56,0,0,1.09,0,5.46,1.09,19.67,0,1.09,0,0,1.09,0,1.09,0,2.19,0,0
108-118,0.77,2.3,0,490.98,12.26,1.53,3.83,0,1.53,3.06,0.77,29.11,0.77,0,0,0,2.3,1.53,0,0,0.77,0,0.77
120,0,0,0,233.21,7.84,0,3.92,0,0,1.96,0,15.68,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96
