stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,23,0,1,0,0,3,0,7,1,0,0,0,0,14,60,0,0,0
 24-34,0,0,0.82,0,0,0,20.52,0,0,0,0,0.82,0,7.39,5.75,0.82,0,0,0.82,13.95,49.25,0.82,0,0
 36-46,0,0,0,0,0,0,15.31,0,0,0,0,0,0,12.89,12.09,0.81,0,0,0,6.45,28.2,0,0,0
 48-58,0,0,0,0,2.3,0,16.64,0,0.57,0,0.57,0,0,9.75,10.9,1.15,0,0,0,1.15,28.12,0,0,0
 60-70,0,0,0.98,0,0.98,0.98,11.78,0,0,0,0.98,0,0.98,16.69,5.89,2.94,0,0,0,0.98,17.67,0,0,0.98
 72-82,0,0.98,0,0.98,1.96,0,19.63,0,0,0,0.98,0.98,0,24.54,15.71,3.93,0,0,0,0.98,16.69,0,0,0
 84-94,0,0,0,1.06,4.25,0,20.18,1.06,0,0,1.06,3.19,1.06,7.43,8.5,5.31,0,0,0,3.19,12.74,0,0,0
 96-106,0,0,0,0,2.19,0,12.02,1.09,0,0,3.28,1.09,1.09,5.46,19.67,8.74,0,1.09,0,1.09,12.02,0,0,0
108-118,0,0,0.77,0,3.83,0,13.79,0,0,0,3.06,1.53,0,6.13,11.49,6.13,0,0.77,0,3.83,5.36,0,0.77,0
120,0,0,0,0,1.96,0,7.84,0,0,1.96,3.92,1.96,0,3.92,9.8,5.88,0,0,0,1.96,3.92,0,0,0
