stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,0,8,0,0,0,0
 24-34,0,3.28,0.82,0,0,7.39,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,244.62,0,52.53,0,0,0,0,0,0,0,15.6,0,0,0,0
 36-46,0,4.83,1.61,0,0,20.14,0.81,0.81,0.81,0,2.42,0,0,0,0,0,0,1.61,0,0,0,574.44,0,63.65,0,0,0,0,0,0,0,36.26,0,0,0,0.81
 48-58,0,1.72,0.57,0,0,49.35,0,0,2.87,0,0,0,0.57,0,0,0,0.57,2.3,0,0,1.15,674.79,0,47.63,0.57,0,0,0.57,0,0,0,34.43,0,0.57,0,1.72
 60-70,0,2.94,2.94,0,0,114.84,0,0,15.7,1.96,0,0.98,0,0,0,0,0.98,5.89,0,0,1.96,943.24,0,54.97,2.94,0,0,0.98,0,0,0,76.56,0.98,0,0,0
 72-82,0,13.74,10.8,0,0,158.05,0,0.98,33.38,7.85,0,0.98,0,0,0.98,0,0,15.71,0.98,0,0,1014.06,0,90.31,3.93,0,0,0.98,0.98,0,0,85.4,5.89,0,0,1.96
 84-94,0,13.81,12.74,1.06,0,127.44,0,2.12,25.49,9.56,0,3.19,0,1.06,0,0,0,15.93,0,0,1.06,526.77,0,98.77,9.56,0,0,0,0,0,0,35.05,8.5,1.06,4.25,1.06
 96-106,0,16.39,10.93,2.19,0,104.91,1.09,0,28.41,18.58,0,3.28,0,0,1.09,0,1.09,24.04,0,0,3.28,515.82,1.09,180.32,9.84,0,1.09,2.19,0,0,0,24.04,13.11,3.28,1.09,1.09
108-118,0,7.66,8.43,1.53,0.77,53.62,0,0,30.64,7.66,0,1.53,0,0,0,0.77,0,16.09,0,0,0.77,572.94,0,88.85,6.89,0,0,2.3,0,0.77,0.77,18.38,18.38,1.53,0,0
120,0,5.88,19.6,1.96,3.92,88.19,0,0,43.12,7.84,0,7.84,1.96,0,3.92,0,0,27.44,0,1.96,1.96,946.58,1.96,82.31,11.76,0,0,1.96,0,0,0,35.28,5.88,1.96,0,0
