stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,1,44,17,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,104,0,0,84,547,3,61,33,1,0,0,2,0,0,7,276,0,0,0,0,0
 24-34,0,3.28,0.82,25.45,9.03,0,43.51,0.82,1.64,12.31,12.31,0,0,4.1,0,1.64,0,12.31,1.64,0,428.49,0.82,0.82,209.32,2753.15,2.46,159.25,103.43,0,0,5.75,0,0.82,0,13.13,538.48,0,0,12.31,0,0.82
 36-46,0,1.61,0.81,20.14,4.83,0,235.26,2.42,0.81,15.31,22.56,0,0,7.25,0.81,0,0,9.67,0,2.42,680.79,0,0,337.58,5662.24,4.83,140.99,47.53,0,1.61,16.92,1.61,0.81,0.81,0,1042.54,0,0.81,18.53,0,2.42
 48-58,1.72,0,0,43.61,4.59,0,814.23,4.02,9.18,14.92,134.27,0.57,0,8.61,6.31,0.57,2.3,11.48,2.87,1.72,973.75,1.15,8.03,277.15,5992.24,4.02,93.53,39.59,0,1.72,18.94,0,1.15,1.15,0,1047.19,0,3.44,22.38,0,13.77
 60-70,0,1.96,0,32.39,9.82,0,893.18,16.69,11.78,14.72,106.99,2.94,0.98,8.83,3.93,0.98,4.91,20.61,4.91,2.94,1155.25,0,3.93,209.06,5126.49,2.94,75.58,44.17,0,4.91,23.56,0,0.98,1.96,0,566.34,0,11.78,35.33,4.91,9.82
 72-82,0,2.94,0,61.84,14.72,0,882.51,9.82,6.87,35.34,124.67,10.8,0,16.69,6.87,0,5.89,18.65,1.96,1.96,1356.66,2.94,6.87,232.65,3958.06,1.96,127.62,73.62,0,6.87,14.72,0,1.96,1.96,0,241.49,2.94,21.6,38.28,6.87,10.8
 84-94,0,2.12,0,92.4,11.68,0,837.95,16.99,8.5,21.24,141.25,6.37,0,21.24,12.74,5.31,7.43,49.92,1.06,0,946.28,5.31,12.74,181.61,2312.06,6.37,130.63,93.46,0,3.19,23.36,0,1.06,3.19,0,182.67,7.43,18.05,37.17,5.31,2.12
 96-106,1.09,0,0,132.23,21.86,2.19,582.49,12.02,6.56,14.21,101.63,13.11,0,16.39,19.67,4.37,4.37,62.29,8.74,2.19,868.81,5.46,7.65,150.81,1790.08,2.19,201.08,79.78,0,12.02,38.25,0,1.09,2.19,0,63.39,10.93,14.21,46.99,6.56,8.74
108-118,0,1.53,0.77,39.06,9.19,4.6,379.15,7.66,7.66,18.38,59.75,3.83,0,8.43,9.19,0.77,2.3,51.32,3.06,1.53,787.41,2.3,9.96,137.87,2223.59,3.06,124.09,66.64,0,5.36,13.79,0,2.3,0,0,40.6,4.6,6.89,40.6,5.36,3.06
120,1.96,0,0,48.99,21.56,0,591.86,13.72,3.92,13.72,84.27,5.88,0,11.76,21.56,7.84,1.96,35.28,5.88,0,705.52,1.96,5.88,146.98,2559.48,7.84,117.59,62.71,0,7.84,13.72,0,5.88,0,0,48.99,0,5.88,37.24,0,1.96
