stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1
 24-34,0,0,0.82,0.82,0,0,0,0.82,0.82,0.82,0,7.39,0.82,0,0.82,0,0,0,2.46
 36-46,0,0.81,4.83,0,0,0,0,0.81,0,0.81,0,8.06,0,0.81,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,0.57,0,0,0,2.3,0,6.89,0,0,0,0,0,0,0
 60-70,0,0,7.85,0,0,0,0,0,0,1.96,0.98,8.83,0,0,0,0,0,0.98,0
 72-82,0,0,7.85,0,0,0,0,0,0,4.91,0,13.74,0,0,0,0,0,0,1.96
 84-94,0,0,3.19,0,0,1.06,0,0,1.06,4.25,0,6.37,0,0,0,0,0,1.06,0
 96-106,0,0,4.37,0,0,0,0,0,0,2.19,0,3.28,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,0,1.53,0,0,2.3,0.77,1.53,0,0,0,0,0,0.77,0.77
120,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
