stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0.82,0,0.82,87.83,0,1.64,0,0,0,0,21.34,0,0,0,0,0
 36-46,0,0.81,4.83,0,0,3.22,0,0.81,1.61,0,0,2.42,0,0,198.19,0,4.03,0,0,0,0,35.45,0,0,0.81,0,0
 48-58,0,1.15,33.85,0,1.15,8.61,0,0,1.72,0,0.57,3.44,0.57,1.15,195.67,0,2.3,0,0,0,0.57,31.56,0,0,0.57,0,0
 60-70,0,1.96,60.85,0,0,2.94,0,0,0,0,0,8.83,0,0,211.03,0,3.93,1.96,0,0.98,0,26.5,0,0.98,0,0,0.98
 72-82,0.98,0,48.1,0,0,6.87,0,0,2.94,0,0,18.65,0,0.98,142.34,0,8.83,0,0,0,0,6.87,0,0.98,0.98,0.98,0
 84-94,0,0,42.48,0,0,5.31,2.12,4.25,1.06,2.12,0,14.87,0,2.12,63.72,0,3.19,0,0,1.06,1.06,5.31,1.06,1.06,0,1.06,0
 96-106,0,1.09,20.76,0,0,4.37,0,3.28,3.28,0,0,4.37,0,1.09,45.9,1.09,12.02,0,0,0,0,3.28,0,0,0,0,0
108-118,0,0,22.98,0,0,1.53,0.77,2.3,3.06,0,0,9.19,0.77,0,58.21,0,5.36,0.77,0,0,0,2.3,0,0.77,0,0,0
120,0,0,25.48,0,0,3.92,0,3.92,3.92,0,0,9.8,0,0,64.67,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0
