stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,0,0,2,0,6,0,18,0,18,3,3,0,0,0,0,0,17,0,1,66,5,0,17,0
 24-34,0,0,0,0,5.75,0,0,0.82,3.28,6.57,0,45.97,0,49.25,6.57,4.93,0,0,0,0,0,0,0.82,0,4.1,4.1,0,62.39,0
 36-46,0,0,0,0,0,0.81,3.22,3.22,3.22,6.45,0,59.62,1.61,20.14,8.86,9.67,0.81,0,0,0,0,0.81,0,0,0,3.22,0,41.89,0
 48-58,0,0,0,0,0,2.3,2.3,5.16,1.15,5.74,0.57,45.33,0,6.89,5.74,2.87,0,0,0,0,0,0,0,0,0,3.44,0,30.99,0
 60-70,0,0,0,0,0,2.94,1.96,4.91,0.98,3.93,0,52.02,0,1.96,4.91,0.98,0,0,0,0,0,0,0,0,0,0,0,25.52,0
 72-82,0,0,0.98,0.98,0,2.94,1.96,3.93,2.94,8.83,2.94,124.67,1.96,5.89,12.76,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0,56.94,4.91
 84-94,0,0,0,0,0,7.43,2.12,3.19,0,22.3,1.06,66.91,2.12,4.25,3.19,2.12,1.06,0,2.12,0,0,0,0,0,0,0,1.06,48.85,2.12
 96-106,0,0,0,0,0,2.19,1.09,6.56,3.28,19.67,2.19,62.29,0,4.37,7.65,1.09,0,0,4.37,1.09,0,0,0,0,0,1.09,1.09,50.27,2.19
108-118,0,0,0,0,0,0.77,2.3,6.89,0,18.38,0.77,45.19,0.77,3.83,9.19,6.13,0,0,3.06,0,0,0,0,0,0,0,0,35.23,0.77
120,0,0,0,0,0,0,1.96,1.96,1.96,21.56,1.96,29.4,0,5.88,7.84,7.84,0,0,1.96,0,0,0,0,0,0,0,0,23.52,1.96
