stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,6,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,48.43,0,0.82,0,0,0.82,0,14.78,0,0
 36-46,0,0,0.81,0.81,0.81,0,0,0,0,2.42,0,0,92.65,0,0,0,0.81,0,0,14.5,0,0
 48-58,0,0.57,6.89,0,0,0,0,0,0,1.15,0,0.57,71.73,0.57,0,0,0,0,0.57,19.51,0,0.57
 60-70,0,0,37.3,0,4.91,0,0,0,0,2.94,0,0,186.49,0,0,0,0,0,0,28.46,0.98,0.98
 72-82,0,2.94,35.34,0,6.87,0,0,0,0,1.96,0.98,0,126.63,0.98,0,0,0,0,0,7.85,0,0
 84-94,0,0,45.67,1.06,1.06,1.06,0,2.12,0,1.06,0,0,112.58,1.06,0,0,0,1.06,0,12.74,0,0
 96-106,0,1.09,33.88,0,5.46,0,0,0,0,3.28,0,0,73.22,0,0,0,1.09,0,0,2.19,0,1.09
108-118,0,1.53,30.64,0.77,2.3,0.77,0.77,2.3,0.77,1.53,0,0,78.89,0,0,0,0,0,0,3.06,0,0
120,0,3.92,33.32,1.96,5.88,0,0,3.92,0,0,0,0,86.23,0,1.96,0,0,1.96,0,1.96,0,0
