stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,periderm,vasculature
 14-21,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,2.46
 36-46,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,1.15,1.15,4.02
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,1.96,0
 72-82,0,0,0,0,0,0.98,0,0,1.96,0,0,0,1.96,6.87,4.91
 84-94,2.12,0,0,0,0,2.12,0,0,1.06,0,0,0,0,3.19,2.12
 96-106,0,0,0,0,0,4.37,1.09,0,0,0,1.09,0,1.09,4.37,4.37
108-118,0.77,0,1.53,0,0,6.89,0,0,1.53,0,0.77,0,0.77,2.3,1.53
120,0,0,0,0,0,5.88,0,0,0,1.96,0,1.96,0,1.96,1.96
