stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,0,0.82,0,0.82,0,0,0,0.82,0,4.93,7.39,10.67,0.82,1.64,0.82,0,0,0,0,0,3.28,3.28,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,3.22,0,0.81,0,0,0,0,0,0,8.06,1.61,3.22,0,0,0,0,0,0.81,0,0,0,7.25,0,0,0,0,0.81
 48-58,0,0,0,4.59,0,8.03,5.16,1.15,0,1.15,0,0,0,1.72,0.57,8.03,1.15,11.48,0,0,0,0,0,1.15,0,0.57,0,4.59,0,0,0,0,6.31
 60-70,0,0,0,3.93,0,5.89,0.98,0.98,0,6.87,0,0.98,0,0,0,3.93,3.93,22.58,0,0,1.96,0,0,2.94,0,0,0,2.94,0,0,0,0,3.93
 72-82,0,0,0.98,3.93,2.94,21.6,0,0,0.98,4.91,4.91,0,0,0.98,0,11.78,0.98,11.78,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0.98,0,1.96,0.98,8.83
 84-94,0,0,3.19,1.06,1.06,27.61,1.06,0,1.06,3.19,3.19,1.06,0,0,0,8.5,0,8.5,1.06,1.06,1.06,0,0,1.06,0,0,0,2.12,0,0,1.06,0,4.25
 96-106,0,0,0,0,0,36.06,1.09,0,0,2.19,4.37,1.09,1.09,0,0,7.65,2.19,17.49,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,3.28
108-118,0,0,0.77,1.53,0.77,22.21,0,0,0,4.6,1.53,0,0,0,0,8.43,0,9.96,0,1.53,2.3,0,0,0,0,0,0,0.77,0.77,0.77,0,0,7.66
120,0,0,0,7.84,0,17.64,0,0,0,7.84,5.88,0,0,0,0,7.84,3.92,5.88,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96
