stage,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,5.26,0,7.89,0,0,0,0,105.15,0,0,21.03,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,22.03,6.29,0,6.29,0,0
 14-21,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,0.82,3.28,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,7.25,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,6.31,0,0,0.57,1.72,0,0,0,1.15,0
 60-70,0,0,0.98,0,0,0,0,12.76,0,0,0.98,1.96,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,14.72,0,0,1.96,2.94,0,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,15.93,0,1.06,1.06,2.12,1.06,1.06,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,22.95,0,0,0,1.09,0,0,0,5.46,1.09
108-118,0,0,0,0,0,0,0,14.55,1.53,0,0,0.77,0.77,0,0,5.36,0
120,0,0,0,0,0,0,0,17.64,0,1.96,0,1.96,0,0,0,1.96,0
