stage,axial,blastomeres,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,somites,spinal.cord,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,0,0,0,47.32,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0.57,0,2.3,0,0,0,1.72,0
 60-70,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,1.96,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0.77,0
