stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,7.89,0,0,0,13.14,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,105.15,5.26,0,0,42.06,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,88.12,12.59,0,0,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,5,0,0,2,0,0,0,0,2,0,0,33,0,1,0,7,3,0,1,11,3,0,1,2,3,7,1,3,7,0,0,0
 24-34,0,0,0,0.82,0.82,0,4.1,0,0,0.82,0,0,0,0,31.19,0,0,0,4.1,0.82,0,0,15.6,0.82,0,0.82,0,2.46,0,0,2.46,9.03,3.28,0,0
 36-46,0,0,0,1.61,0,0,5.64,0.81,0,0.81,0,0,0,0,15.31,0,0,0,1.61,1.61,0,0.81,20.14,0,1.61,0.81,0,0.81,0,0,0,2.42,0.81,0,0
 48-58,0,0,0,1.72,0,0,3.44,0,0,0.57,0,0,0.57,0.57,6.89,0,0,0,1.72,1.15,0.57,1.15,12.62,0,0,0,0,0,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,1.96,0,0,9.82,0.98,0.98,0.98,0,0,0,0,6.87,0,0,0,1.96,0,0,0,20.61,0,0,0,0,2.94,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,0,9.82,0.98,1.96,1.96,0,0,0,0,19.63,0,0,0,4.91,0,0,0,12.76,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0.98
 84-94,0,0,0,3.19,2.12,0,1.06,0,1.06,3.19,0,0,0,2.12,29.74,1.06,0,1.06,3.19,0,0,0,8.5,0,0,0,0,3.19,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,0,0,1.09,6.56,0,1.09,0,0,0,0,0,0,2.19,21.86,0,1.09,0,3.28,1.09,0,0,8.74,1.09,1.09,0,0,2.19,0,0,0,0,2.19,0,0
108-118,0,0,0,0.77,1.53,0.77,2.3,0,0.77,2.3,0,0,0,0,25.28,0,0,0,2.3,0,0,0,6.13,0,0,0.77,0,3.83,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,1.96,7.84,0,0,0,1.96,0,0,1.96,15.68,0,0,0,3.92,0,0,1.96,1.96,0,0,0,0,7.84,0,0,0,0,1.96,1.96,0
