stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,4.83,0,0,0,0,0.81,2.42,0.81,1.61,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,15.49,0,0,0,0,1.15,1.15,0,2.87,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,116.8,0.98,0,2.94,0,1.96,2.94,0.98,5.89,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,243.45,0,0.98,12.76,0,1.96,16.69,0,18.65,0.98,0,0.98,0,0.98,0.98,0,0
 84-94,0,2.12,0,135.94,0,0,11.68,0,5.31,13.81,0,10.62,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,1.09,1.09,187.97,0,2.19,19.67,2.19,4.37,17.49,0,21.86,0,0,0,0,0,2.19,0,0
108-118,0,3.06,0,183.07,0,0.77,24.51,0,4.6,16.09,0.77,17.62,0,0,0,0.77,0,0,0,0
120,0,1.96,0,111.71,0,0,9.8,0,1.96,9.8,0,9.8,1.96,0,0,0,0,0,0,0
