stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,2,1,2,0,0,0,0,2,5,18,1,0,3,0,3,17,6,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,1.64,12.31,0,0,0,0.82,0,1.64,2.46,0.82,0,0
 36-46,0,0,0.81,0,2.42,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,2.42,0,0.81,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,1.15,0,1.15,0,0.57,0.57,0.57,0,0.57,0,0,0,2.3,0,4.02,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,1.96,0,17.67,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,1.96,0,0,0,0,0,0,8.83,0,8.83,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,1.06,0,0,1.06,0,0,2.12,0,4.25,1.06,0,0,2.12,0,0,4.25,0,0,0
 96-106,0,0,1.09,0,4.37,1.09,0,1.09,0,0,0,1.09,1.09,0,2.19,0,5.46,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0.77,0.77,0.77,0.77,0,0,0,0,0,0.77,0,6.89,0,2.3,0,0.77,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,1.96,0,0
