stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,5.75,0,0,1.64,0,2.46
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,0,6.45
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0,1.15,0,0,0.57,0,3.44
 60-70,0,0,0,1.96,0,1.96,0,0.98,0,0,0,0.98,6.87,0,0,0,0.98,0.98,0,9.82
 72-82,0,2.94,0,3.93,0,3.93,0.98,0,0.98,0,0,1.96,12.76,0,4.91,0,0,0.98,0,15.71
 84-94,0,5.31,0,2.12,2.12,1.06,0,0,0,0,0,0,8.5,0,2.12,0,0,2.12,0,12.74
 96-106,0,2.19,2.19,0,1.09,1.09,0,0,0,0,0,0,3.28,0,1.09,0,0,1.09,2.19,8.74
108-118,0,2.3,0,1.53,1.53,2.3,0,0,0,0,0.77,0.77,4.6,0,0.77,0,0.77,2.3,0,6.89
120,0,1.96,0,3.92,0,1.96,0,0,0,1.96,0,0,5.88,1.96,0,0,0,0,0,1.96
