stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,2332.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1262.7,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,21.03,28.92,0,0,0,84.12,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,617.75,60.46,0,0,247.1,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,28.32,0,3.15,0,75.53,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,459.46,34.62,0,0,176.23,0,0,3.15,0,22.03,0,6.29,0,0,0,0,0,0
 14-21,0,0,4,22,9,0,8,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,13,83,19,0,1,3,0,1,1,30,1,1,15,21,0,0,2,0,0
 24-34,0,0,0,2.46,0.82,0,11.49,0.82,0.82,2.46,0.82,0.82,0,2.46,0,0.82,0,0,0.82,10.67,1.64,0,8.21,73.88,2.46,0,2.46,0,0,3.28,0,0,0,0,2.46,13.13,0,0,6.57,0,0.82
 36-46,0,0,0,4.03,0,0,6.45,0,2.42,2.42,0,0,0,0,0,0.81,0.81,0,0,12.89,0.81,0,6.45,41.09,1.61,0,0.81,0,0,1.61,0,0.81,0,0,0,16.11,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,0,26.97,0.57,2.87,14.35,0.57,0,1.15,0.57,0.57,0,1.15,0.57,0,34.43,1.15,0,5.16,81.48,1.72,0,2.87,0,0,5.74,0,0,0,0,0,17.79,0,0,5.16,0,0
 60-70,0,0,0,2.94,0,0,15.7,1.96,3.93,14.72,0,0,0,0.98,0,0.98,0.98,0.98,0,43.19,0.98,0,2.94,65.76,0,0.98,1.96,0,0,5.89,0,0.98,0,0.98,0,7.85,0,0.98,2.94,0,0
 72-82,0,0,0,3.93,0,0,33.38,0,4.91,13.74,0,0,0,1.96,0.98,0.98,2.94,0.98,0,46.14,0.98,0.98,6.87,93.26,0.98,0,0,0,0,5.89,0,0,0,0,0,7.85,0,0.98,4.91,0,0
 84-94,0,0,0,2.12,0,0,13.81,1.06,2.12,12.74,2.12,0,1.06,4.25,4.25,1.06,2.12,1.06,1.06,42.48,3.19,2.12,5.31,44.61,2.12,0,1.06,0,0,26.55,0,0,2.12,0,0,1.06,0,1.06,4.25,0,1.06
 96-106,0,0,0,10.93,1.09,2.19,17.49,2.19,1.09,6.56,2.19,0,1.09,3.28,0,1.09,3.28,0,0,22.95,0,1.09,3.28,33.88,1.09,2.19,5.46,0,1.09,14.21,0,0,0,0,0,2.19,0,0,7.65,0,0
108-118,0,0,0,6.13,0,3.06,12.26,0,0.77,6.89,2.3,0,0,0.77,2.3,0.77,3.06,1.53,0,5.36,0.77,0,3.06,37.53,0,1.53,0,0,0,7.66,0,0,0,0,0,0,0.77,0.77,4.6,0.77,0
120,0,0,0,5.88,0,0,11.76,0,0,5.88,3.92,0,0,3.92,0,1.96,0,0,0,7.84,0,0,3.92,41.16,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0
