stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,34,1,0,1,0,0,1,1,0,1,2,3,0,0,0,0
 24-34,0,0,0,2.46,0,4.1,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,197.01,1.64,0,0.82,0,0,0,0,0,0,0,36.12,0,0,0,0
 36-46,0,0,0,0.81,0,11.28,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,1.61,427.81,0.81,0.81,0,0,0,1.61,0,0,0,0,43.51,0,0,0,0
 48-58,0,0,0,2.87,0,18.94,1.15,0,0.57,4.59,0,0,0.57,0,0,0,6.31,0,0.57,512.98,0.57,0,0.57,0,0,0.57,0,0,0,0,59.68,0,0,0,0
 60-70,0,0,0,2.94,0,20.61,0,0.98,0,7.85,0,0,0,0,0,0,11.78,0,0,636.03,2.94,0.98,0.98,0,0,0,0,0,0,0,53,0,0,0,0.98
 72-82,0,0,0,5.89,0,32.39,0,0,0,8.83,0.98,0,0,0,0,0,13.74,0.98,2.94,607.65,0,0,2.94,0,0.98,0,0,0,0,0,39.27,0.98,1.96,1.96,0
 84-94,0,0,1.06,3.19,1.06,52.04,1.06,0,0,13.81,1.06,0,2.12,1.06,1.06,0,20.18,3.19,2.12,347.29,1.06,0,3.19,0,0,0,0,0,1.06,0,16.99,0,0,1.06,0
 96-106,0,0,2.19,2.19,0,21.86,0,0,0,10.93,0,0,3.28,1.09,0,0,6.56,0,0,274.3,1.09,0,1.09,0,0,3.28,0,1.09,0,0,13.11,0,1.09,3.28,0
108-118,0,0,0,5.36,0.77,22.21,0,0,1.53,7.66,6.13,0,1.53,0,0,0.77,6.89,1.53,0.77,267.32,0.77,0,0.77,0,0.77,0,0,0,0,0,9.19,0,0,0,0
120,0,0,0,3.92,0,31.36,0,3.92,0,15.68,0,0,0,0,0,0,9.8,0,1.96,325.32,5.88,0,1.96,0,1.96,1.96,0,1.96,0,0,7.84,1.96,0,0,0
