stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,1,0,1,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0,1.64,7.39,2.46,0,119.84,0.82,0,0,0,1.64,0
 36-46,0,0,3.22,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,1.61,0.81,0,0,8.86,0.81,0,116.82,0,0,2.42,0,0.81,0
 48-58,0,0,1.72,0,0,3.44,1.15,0,5.74,0,0.57,0,1.15,0,0,0,0.57,4.02,6.89,0,0,10.9,2.3,0,110.74,0,0,1.72,0,0,1.72
 60-70,0,0,0.98,0,0,11.78,0,0,36.32,0,0,0,0.98,0,0,0,0,3.93,5.89,0,0,16.69,0,0,121.71,0,0,0,0,0,1.96
 72-82,0,0,5.89,0.98,0,32.39,4.91,0,94.24,0,0,1.96,3.93,0.98,1.96,0,0,15.71,13.74,0,0,21.6,0.98,3.93,167.86,0,0,0.98,0.98,2.94,0
 84-94,0,0,6.37,0,0,44.61,8.5,0,53.1,1.06,0,0,8.5,1.06,1.06,0,0,7.43,14.87,0,0,8.5,3.19,0,411.01,0,1.06,1.06,1.06,1.06,0
 96-106,0,1.09,19.67,0,0,53.55,5.46,0,83.06,5.46,0,0,8.74,0,1.09,1.09,0,5.46,18.58,1.09,0,18.58,3.28,1.09,378.12,0,0,1.09,1.09,2.19,1.09
108-118,0,0,24.51,0,0,63.57,4.6,0,62.81,5.36,0,3.06,13.79,0,0.77,0.77,0,8.43,10.72,0,0,17.62,3.83,1.53,291.07,0.77,0,0.77,1.53,1.53,0
120,0,0,33.32,0,1.96,33.32,1.96,1.96,50.95,5.88,0,0,1.96,0,3.92,0,0,1.96,9.8,0,3.92,11.76,1.96,3.92,203.82,0,0,0,0,0,0
