stage,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,0,5.75,0.82,0.82,0,0.82,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0.81,0,4.03,0,0,0,1.61,0,0,0
 48-58,0,0,0,1.15,1.72,0.57,0,0,0.57,1.15,0,9.18,0,0,0.57,1.15,0,0.57,0.57
 60-70,0,0,0,5.89,0.98,0.98,0,0,0,0.98,0,20.61,0,0,0,3.93,0,0,0
 72-82,0,0.98,0,4.91,0.98,0.98,0,0,0,1.96,0,10.8,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,2.12,1.06,4.25,0,0,0,4.25,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,4.37,2.19,3.28,0,1.09,0,1.09,0,13.11,0,1.09,0,1.09,0,0,0
108-118,0,0,0,1.53,0,3.83,0.77,0,0,2.3,0,6.89,0,0.77,0,0,0,0.77,0
120,0,3.92,0,0,5.88,5.88,0,0,0,0,0,3.92,0,0,0,0,0,0,0
