stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,1.64,3.28,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0.81,1.61,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0,0,0.98,0,0,0.98,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,3.19,0,2.12,0,0,1.06,0,6.37,0
 96-106,1.09,0,1.09,0,0,14.21,0,1.09,2.19,0,1.09,3.28,5.46,0
108-118,0,0.77,0.77,0,1.53,10.72,0,0,1.53,0,0,1.53,3.83,0
120,0,0,0,0,0,21.56,0,1.96,0,0,1.96,0,1.96,0
